აღებაც	აღებ აც
ბგერები	ბგერ ები
ფინეთმა	ფინეთ მა
დახვეწა	დახვეწ ა
ვილემ	ვილ ემ
მალაკის	მალაკ ის
ასაზრდოებს	ა სა ზრდო ებს
ბოლის	ბოლ ის
შუაღამისას	შუაღამ ის ას
ჯვარის	ჯვარ ის
მეომრებმა	მეომრ ებ მა
დაფაზე	დაფ ა ზე
რელიგიური	რელიგი ური
მოკვდავი	მოკვდ ავ ი
ნაგაზის	ნაგაზ ის
საკურთხეველზე	სა კურთხეველ ზე
ჯილდოების	ჯილდო ების
ფიჭური	ფიჭ ური
ნიგერიის	ნიგერი ის
შებრუნდა	შე ბრუნ და
რსფსრ	რსფსრ
საბალეტო	სა ბალეტ ო
სიგანეში	სიგან ე ში
პეკინში	პეკინ ში
უბედურების	უ ბედურ ების
მინარეთი	მი ნარეთ ი
გამოიყენებდა	გამო იყენ ებდა
ბენედიქტე	ბენედიქტ ე
გადაიყვანეს	გადა იყვან ეს
გეოლოგიურ	გეოლოგი ურ
კინემატოგრაფიულ	კინემატოგრაფ ი ულ
მონადირეები	მონადირ ე ები
სთავაზობდა	სთავაზ ობ და
ასპექტში	ასპექტ ში
ლანჩხუთის	ლანჩხუთ ის
სკოლამ	სკოლ ამ
მასწავლებლის	მა სწავლებლ ის
ომისშემდგომი	ომისშემდგომ ი
პატიმრებს	პატიმრ ებს
გათხარა	გა თხარ ა
დათა	და თა
რენოს	რენ ო ს
გააგრძელეს	გა ა გრძელ ეს
დარჩენილა	და რჩენილ ა
კარლუშ	კარლ უშ
უმანკო	უ მანკ ო
იმისგან	იმ ის გან
ითვისებენ	ითვის ებენ
მასპინძელს	მა სპინძელ ს
დავალება	და ვალ ება
ცათამბჯენის	ცათამბჯენ ის
გადაადგილდებოდნენ	გადაადგილ დებოდნენ
დამატებულია	დამატ ებულ ია
უმთავრესად	უმთავრეს ად
სკუდეტო	სკუდეტო
დიდებული	დიდებულ ი
ბელგრადში	ბელგრად ში
მიაღწიონ	მი აღწი ონ
მცველებს	მცველ ებს
ლაშქრობით	ლაშქრობ ით
რაიონებს	რაიონ ებს
სამხედროების	სა მხედროებ ის
გამოწვეულია	გამო წვეულ ია
ტურნეებს	ტურნე ებს
ოსმალებმა	ოსმალ ებ მა
გარეშეა	გარეშე ა
იერარქიული	იერარქი ული
კუნთები	კუნთ ები
მადნეული	მადნ ე ული
ლეგენდებში	ლეგენდ ებ ში
ციტოპლაზმაში	ციტო პლაზმ აში
ვიშნუს	ვიშ ნუს
ჰერბიციდები	ჰერბიციდ ები
სამხედროები	სა მხედროებ ი
ინტერიერი	ინტერიერ ი
ჰიმალაის	ჰიმალა ის
გაშენებულ	გა შენებულ
ოპონენტების	ოპონენტ ების
ქრომის	ქრომ ის
გებრიელ	გებრიელ
შედეგები	შედეგ ები
სამეგრელოსა	სა მეგრელ ოს ა
მონად	მონ ად
ქარიშხლისა	ქარიშხლ ის ა
ქვეყნებში	ქვეყნ ებ ში
ფურცლებს	ფურცლ ებს
ალგორითმი	ალგორითმ ი
მთავარია	მთავარ ი ა
წიაღისეულის	წიაღისეულ ის
ბაგრატიონი	ბაგრატიონ ი
სმოლენსკში	სმოლენსკ ში
სიტყვით	სიტყვ ით
სულისაგან	სულ ის ა გან
ფუტუნას	ფუტუნ ას
ცეცხლოვან	ცეცხლ ოვან
წუთს	წუთ ს
დასაწყისისთვის	და სა წყის ის თვის
კომპანიამ	კომპანი ამ
ფაშიზმის	ფაშ იზმ ის
სტრაბონის	სტრაბონ ის
შემოსავლები	შემოსავლ ები
ინფორმაციულ	ინფორმაცი ულ
დაძლევა	დაძლევ ა
შეტყობინებათა	შე ტყობინებ ათ ა
აწყდება	აწყ დ ება
პოპულარობისა	პოპულარობ ის ა
სტუდიას	სტუდი ას
ძველმა	ძველ მა
გემის	გემ ი ს
ღამურების	ღამურ ების
ფეხბურთელის	ფეხბურთელ ის
ჩამოროს	ჩამორ ო ს
ოტავის	ოტავ ის
ავად	ავ ად
გარდაცვალებით	გა რდაცვალებ ით
მხატვრობის	მხატვრ ობ ის
იოკო	იოკ ო
კალიმანტანის	კალიმანტან ის
კოსმოგონიური	კოსმო გონ ი ური
პოპულაციის	პოპულაცი ის
ინაუგურაცია	ინაუგურაცი ა
გამოასწორა	გამო ა სწორ ა
მხარდაჭერას	მხარდაჭერ ას
ფილიპსმა	ფილიპ ს მა
წევრებისთვის	წევრ ების თვის
ეძლეოდათ	ე ძლე ო დათ
ეპილეფსიის	ე პილეფსი ის
სანაპიროსა	სა ნაპირო სა
ურთულეს	უ რთულ ეს
დეკარტეს	დე კარტ ეს
ერთეულს	ერთეულ ს
ცვალებადობას	ცვალებად ობ ას
მალდერი	მალდერ ი
სკულპტურებს	სკულპტურ ებს
დებატები	დებატებ ი
პოლიტიკოსების	პოლიტიკოს ების
გვევლინებიან	გვევლინ ები ან
კვანძების	კვანძ ების
ოთხსართულიანი	ოთხ სართულ იან ი
ხარკოვში	ხარკოვ ში
ანსოატეგის	ანსოატეგ ის
ბრალია	ბრალ ი ა
ცენზორის	ცენზორ ის
ჩინებულად	ჩინ ებულად
შეღრმავებაში	შეღრმავ ება ში
ფრაგმენტული	ფრაგმენტ ული
ალიოშა	ალ ი ოშა
მესაქონლეობით	მე სა ქონლეობ ით
მუზეუმი	მუზეუმ ი
პირობებით	პირობ ებ ით
სიგელი	სიგელ ი
ლიტრ	ლიტრ
ქსელით	ქსელ ით
ბერმა	ბერ მა
გაყიდვები	გაყიდვ ები
ითვალისწინებდნენ	ითვალისწინ ებდნენ
ცხოველების	ცხოველ ების
თანხები	თანხ ები
ჯემს	ჯემ ს
გვხდება	გვ ხ დ ება
ოსტროვსკის	ოსტრ ოვსკ ის
ფიგურირებდა	ფიგურირ ებდა
საკრუიზო	საკრუიზ ო
შარიაჟული	შარიაჟ ული
მიტჩელი	მიტჩ ელი
მეფეების	მეფე ების
რომ	რომ
მალავიში	მალავ ი ში
ბირჟაზე	ბირჟ ა ზე
ფერმერებს	ფერმერ ებს
არქიტექტურული	არქიტექტურ ული
დათრგუნვა	და თრგუნ ვა
მიეძღვნა	მი ეძღვნ ა
პოულობდა	პოულობ და
ცდა	ცდ ა
სულთნის	სულთნ ის
მიაძაკის	მი აძაკ ის
შევჩენკომ	შე ვჩენკო მ
გაუძლებდა	გა უძლ ებდა
თესლოვანი	თესლ ოვან ი
კონტინგენტი	კონტინგენტ ი
ნიკა	ნიკ ა
დებულებას	დებულებ ას
გართულებით	გა რთულ ებ ით
ბეროუზი	ბეროუზ ი
მოჩვენებებს	მოჩვენებ ებს
საჭიროებენ	სა ჭიროებ ენ
