აღებაც	აღებ აც
ბგერები	ბგერ ები
ფინეთმა	ფინეთ მა
დახვეწა	დახვეწ ა
ვილემ	ვი ლემ
მალაკის	მალ აკ ის
ასაზრდოებს	ა საზრდო ებს
ბოლის	ბოლ ის
შუაღამისას	შუაღამ ისას
ჯვარის	ჯვარ ის
მეომრებმა	მეომრ ებმა
დაფაზე	დაფ აზე
რელიგიური	რელიგი ური
მოკვდავი	მო კვდავ ი
ნაგაზის	ნა გაზ ის
საკურთხეველზე	სა კურთხევ ელზე
ჯილდოების	ჯილდოებ ის
ფიჭური	ფიჭ ური
ნიგერიის	ნიგერი ის
შებრუნდა	შე ბრუნ და
რსფსრ	რ სფსრ
საბალეტო	სა ბალეტ ო
სიგანეში	სიგანე ში
პეკინში	პეკინ ში
უბედურების	უბედურ ების
მინარეთი	მი ნარ ეთი
გამოიყენებდა	გამო იყენებ და
ბენედიქტე	ბენედიქტ ე
გადაიყვანეს	გა და იყვან ეს
გეოლოგიურ	გეოლოგი ურ
კინემატოგრაფიულ	კინემატოგრაფ იულ
მონადირეები	მო ნადირე ები
სთავაზობდა	სთავაზობ და
ასპექტში	ასპექტ ში
ლანჩხუთის	ლანჩხუთ ის
სკოლამ	სკოლ ამ
მასწავლებლის	მა სწავლებლ ის
ომისშემდგომი	ომისშემ დგომი
პატიმრებს	პატიმრებ ს
გათხარა	გა თხარ ა
დათა	დათ ა
რენოს	რენ ოს
გააგრძელეს	გა აგრძელ ეს
დარჩენილა	დარჩენილ ა
კარლუშ	კარლ უშ
უმანკო	უ მან კო
იმისგან	იმ ისგან
ითვისებენ	ითვის ებენ
მასპინძელს	მა სპინძელ ს
დავალება	და ვალებ ა
ცათამბჯენის	ცათამბჯენი ს
გადაადგილდებოდნენ	გადაადგილდ ებოდნენ
დამატებულია	და მატებ ულია
უმთავრესად	უ მთავრეს ად
სკუდეტო	სკუდეტ ო
დიდებული	დიდებულ ი
ბელგრადში	ბელგრად ში
მიაღწიონ	მი აღწი ონ
მცველებს	მცველ ებს
ლაშქრობით	ლაშქრობ ით
რაიონებს	რაიონ ებს
სამხედროების	სა მხედრო ების
გამოწვეულია	გამო წვეულ ია
ტურნეებს	ტურნე ებს
ოსმალებმა	ოსმალ ებმა
გარეშეა	გარეშე ა
იერარქიული	იერარქი ული
კუნთები	კუნთ ები
მადნეული	მადნეულ ი
ლეგენდებში	ლეგენდ ებში
ციტოპლაზმაში	ციტო პლაზმ აში
ვიშნუს	ვიშ ნუს
ჰერბიციდები	ჰერბიციდ ები
სამხედროები	სა მხედრო ები
ინტერიერი	ინტერიერ ი
ჰიმალაის	ჰიმალა ის
გაშენებულ	გა შენებ ულ
ოპონენტების	ოპონენტ ების
ქრომის	ქრომ ის
გებრიელ	გებრიელ
შედეგები	შე დეგ ები
სამეგრელოსა	სა მე გრელო სა
მონად	მონ ად
ქარიშხლისა	ქარიშხლის ა
ქვეყნებში	ქვეყნებ ში
ფურცლებს	ფურცლებ ს
ალგორითმი	ალგორითმ ი
მთავარია	მთავარ ია
წიაღისეულის	წიაღისეულ ის
ბაგრატიონი	ბაგრატიონ ი
სმოლენსკში	სმოლენსკ ში
სიტყვით	სიტყვ ით
სულისაგან	სულ ის აგან
ფუტუნას	ფუტ უნას
ცეცხლოვან	ცეცხლ ოვან
წუთს	წუთ ს
დასაწყისისთვის	და სა წყის ისთვის
კომპანიამ	კომპანი ამ
ფაშიზმის	ფაშიზმ ის
სტრაბონის	სტრაბონ ის
შემოსავლები	შე მოსავლ ები
ინფორმაციულ	ინფორმაც იულ
დაძლევა	და ძლევ ა
შეტყობინებათა	შე ტყობინებ ათა
აწყდება	ა წყდ ება
პოპულარობისა	პოპულარობ ისა
სტუდიას	სტუდი ას
ძველმა	ძველ მა
გემის	გემ ის
ღამურების	ღამურ ების
ფეხბურთელის	ფეხბურთელ ის
ჩამოროს	ჩამორო ს
ოტავის	ოტავ ის
ავად	ავ ად
გარდაცვალებით	გა რდაცვალებ ით
მხატვრობის	მხატვრობ ის
იოკო	იო კო
კალიმანტანის	კალიმან ტან ის
კოსმოგონიური	კოსმოგონი ური
პოპულაციის	პოპულაცი ის
ინაუგურაცია	ინაუგურაცი ა
გამოასწორა	გამო ასწორ ა
მხარდაჭერას	მხარდაჭერ ას
ფილიპსმა	ფილიპს მა
წევრებისთვის	წევრებ ისთვის
ეძლეოდათ	ეძლეოდა თ
ეპილეფსიის	ეპილეფსი ის
სანაპიროსა	სა ნაპირო სა
ურთულეს	ურთულ ეს
დეკარტეს	დეკარტ ეს
ერთეულს	ერთეულ ს
ცვალებადობას	ცვალებად ობას
მალდერი	მალდერ ი
სკულპტურებს	სკულპტურ ებს
დებატები	დებატებ ი
პოლიტიკოსების	პოლიტიკოს ების
გვევლინებიან	გვევლინ ებიან
კვანძების	კვანძ ების
ოთხსართულიანი	ოთხ სართულიანი
ხარკოვში	ხარკოვ ში
ანსოატეგის	ანსოატ ეგ ის
ბრალია	ბრალ ია
ცენზორის	ცენზორ ის
ჩინებულად	ჩინებულ ად
შეღრმავებაში	შე ღრმავებ აში
ფრაგმენტული	ფრაგმენტ ული
ალიოშა	ალიოშ ა
მესაქონლეობით	მე სა ქონლეობ ით
მუზეუმი	მუზეუმ ი
პირობებით	პირობებ ით
სიგელი	სიგელ ი
ლიტრ	ლიტრ
ქსელით	ქსელ ით
ბერმა	ბერ მა
გაყიდვები	გა ყიდვ ები
ითვალისწინებდნენ	ითვალისწინ ებდნენ
ცხოველების	ცხოველებ ის
თანხები	თანხ ები
ჯემს	ჯემ ს
გვხდება	გვ ხდება
ოსტროვსკის	ოსტროვსკ ის
ფიგურირებდა	ფიგურირებ და
საკრუიზო	სა კრუ იზო
შარიაჟული	შარიაჟ ული
მიტჩელი	მიტჩელ ი
მეფეების	მეფეებ ის
რომ	რომ
მალავიში	მალავ ი ში
ბირჟაზე	ბირჟ აზე
ფერმერებს	ფერმერ ებს
არქიტექტურული	არქიტექტურ ული
დათრგუნვა	და თრგუნ ვა
მიეძღვნა	მი ეძღვნ ა
პოულობდა	პოულობ და
ცდა	ც და
სულთნის	სულთნ ის
მიაძაკის	მი აძაკ ის
შევჩენკომ	შე ვჩენკო მ
გაუძლებდა	გა უძლ ებდა
თესლოვანი	თესლ ოვანი
კონტინგენტი	კონტ ინგენტი
ნიკა	ნიკ ა
დებულებას	დებულებ ას
გართულებით	გა რთულებ ით
ბეროუზი	ბეროუზ ი
მოჩვენებებს	მო ჩვენებ ებს
საჭიროებენ	საჭიროებ ენ
ივლისს	ივლის ს
თანამედროვეთა	თანამე დროვეთა
პრეზიდენტებს	პრეზიდენტ ებს
