გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	სა ბურავ ი
ირჩევს	ი რჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინ ებელია
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	ა რტეფაქტ ები
კორუფციულ	კორუფც იულ
ჭრიან	ჭრ იან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	და უშვ ებელია
ეწეოდნენ	ეწ ეოდნენ
ანათებდა	ანა თ ებდა
დაუღალავი	დაუ ღალ ავი
მთელ	მთ ელ
მყოფი	მ ყოფ ი
ლევირატი	ლე ვირატ ი
აბულ	აბ ულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უ მატ ებს
წარმატებაც	წარმატ ებაც
ცისკრის	ცისკრ ის
გაანადგურებს	გაანა დგურ ებს
დამუშავებისას	და მუშავებ ისას
სასცენო	სა სცენ ო
სილვესტერ	სი ლვესტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალ იის
მუჰამადის	მუჰა მ ადის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავლ ებ ის
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	და ეკავ ებინათ
ფეტვი	ფეტვ ი
სპაიკ	სპ აიკ
ნიშებში	ნიშ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მ უნი ოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომაკვ დავ მა
საქმიანობასთან	სა ქმიანობ ასთან
საწყისი	სა წყის ი
ათვისების	ა თვისებ ის
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტ ოსი
მანიაკალური	მან იაკ ალური
სათავსს	სა თავს ს
იმოგზაურეს	იმო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბი ს
მძვინვარე	მძვ ინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმოი ღ ეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მო ნასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	ა რეულობ ის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქერ ი ა
მაძიებელი	მაძი ებელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელ ოები
შვეიცარიის	შვეიცარ იის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვ ების
გაუკეთოს	გა უკეთ ოს
არეს	არე ს
ჩაისა	ჩა ი სა
დღესასწაულებს	დღესა სწაულ ებს
იდეოლოგია	იდეოლოგ ია
