გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	სა ბურავ ი
ირჩევს	ი რჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელ ობებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგ ბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გა სა თვალისწ ი ნებ ელია
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	არტე ფაქტ ები
კორუფციულ	კორუფც იულ
ჭრიან	ჭრ იან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუ შვებ ელია
ეწეოდნენ	ეწეო დნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	და უ ღალ ავი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლე ვირატი
აბულ	ა ბულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ა მ
გადაიქცევა	გადა ი ქცევა
იაპონელი	იაპონ ელი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატ ებაც
ცისკრის	ცის კრის
გაანადგურებს	გაან ადგურ ებს
დამუშავებისას	და მუშავ ების ას
სასცენო	სა სცენ ო
სილვესტერ	სილვ ეს ტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფ ალ ი ის
მუჰამადის	მუჰ ამ ად ის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამო მავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუა ლობის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	და ეკავ ებინათ
ფეტვი	ფე ტ ვი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მუ ნი ო ს ი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლი ურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მო მა კვდავ მა
საქმიანობასთან	საქმ იან ობასთან
საწყისი	ს აწყ ის ი
ათვისების	ა თვის ების
თავდაცვითი	თავდაც ვითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლო ტოს ი
მანიაკალური	მანი აკ ალური
სათავსს	ს ა თავს ს
იმოგზაურეს	ი მო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვინვარე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩ ხელ ა
მონასტრის	მონასტრი ს
რიცხვებამდე	რიცხვ ებ ამდე
არეულობის	არეულ ობის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლი ს
ჩანჩქერია	ჩანჩქე რია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელო ები
შვეიცარიის	შვეი ცარი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მიტოვ ების
გაუკეთოს	გა უკეთ ოს
არეს	არეს
ჩაისა	ჩაი სა
დღესასწაულებს	დღესას წაულ ებს
იდეოლოგია	იდეოლოგ ია
