გამოსხივება	გამოსხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტ რი
თოვლს	თოვლ ს
საბურავი	საბურავ ი
ირჩევს	ირჩევ ს
კუკის	კუ კის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამოცდ ებში
გასათვალისწინებელია	გასა თვალისწინებ ელია
გინახავს	გინ ახავს
კარსტულ	კარსტ ულ
არტეფაქტები	არტეფაქტ ები
კორუფციულ	კორუფ ციულ
ჭრიან	ჭრ იან
პენსიაში	პენსი აში
ორგანიზმში	ორგანიზ მში
ლოუ	ლოუ
პარმა	პარმ ა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვ ებელია
ეწეოდნენ	ეწეო დნენ
ანათებდა	ანათ ებდა
დაუღალავი	დაუღალა ვი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლევი რატი
აბულ	ა ბულ
დამარცხებით	დამარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაიქც ევა
იაპონელი	იაპონ ელი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატ ებაც
ცისკრის	ცის კრის
გაანადგურებს	გაანადგურ ებს
დამუშავებისას	დამუშავ ებისას
სასცენო	სა სცენო
სილვესტერ	სილვესტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალიის
მუჰამადის	მუჰამად ის
პერსონაჟთა	პერსონა ჟთა
მტრის	მტრ ის
შთამომავლების	შთამომავ ლების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუა ლობის
გამოჩნდებოდა	გამოჩნდ ებოდა
დაეკავებინათ	დაე კავებინათ
ფეტვი	ფეტ ვი
სპაიკ	სპა იკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნე ულ
მუნიოსი	მ უნიოსი
ორგანიზმის	ორგანიზ მის
მშობლიურ	მშობლი ურ
გავშალოთ	გავ შალოთ
მომაკვდავმა	მომაკვდ ავმა
საქმიანობასთან	საქმიანობ ასთან
საწყისი	საწყ ისი
ათვისების	ათვის ების
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილის
სიმართლეში	სიმართლ ეში
ლოტოსი	ლოტოს ი
მანიაკალური	მან იაკალური
სათავსს	სათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსა სრული
კოლუმბის	კოლუმ ბის
მძვინვარე	მძვინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმოი ღეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მაძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სამფლობელო ები
შვეიცარიის	შვეიცარი ის
მოასწრეს	მოასწრ ეს
მიტოვების	მიტოვ ების
გაუკეთოს	გაუკეთ ოს
არეს	არე ს
ჩაისა	ჩა ისა
დღესასწაულებს	დღესასწაუ ლებს
იდეოლოგია	იდეოლოგი ა
წმიდანს	წმიდან ს
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრანცის კო
წყევლის	წყე ვლის
თრაინ	თ რაინ
