გამოსხივება	გამო სხივებ ა
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თო ვლ ს
საბურავი	საბურ ავ ი
ირჩევს	ი რჩევ ს
კუკის	კუ კ ის
მცდელობებს	მცდ ელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინებ ელია
გინახავს	გი ნახავ ს
კარსტულ	კარ სტ ულ
არტეფაქტები	არტე ფაქტ ები
კორუფციულ	კორუ ფცი ულ
ჭრიან	ჭრ იან
პენსიაში	პ ენსი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარ მ ა
ქოხში	ქ ოხ ში
ციმბირი	ციმ ბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვ ებელ ია
ეწეოდნენ	ეწე ო დნენ
ანათებდა	ა ნათებ და
დაუღალავი	დაუღა ლავ ი
მთელ	მ თელ
მყოფი	მყოფ ი
ლევირატი	ლევი რატ ი
აბულ	ა ბულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თა ღ იანი
ოცნებამ	ოც ნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონ ელ ი
პოზიცია	პოზიცი ა
უმატებს	უ მატებ ს
წარმატებაც	წარ მატებ აც
ცისკრის	ცი სკ რის
გაანადგურებს	გაა ნადგურ ებს
დამუშავებისას	და მუშავებ ისას
სასცენო	სა სცენ ო
სილვესტერ	სილვე სტერ
გომინდანის	გომინ დან ის
ვესტფალიის	ვესტ ფალი ის
მუჰამადის	მუჰამა დ ის
პერსონაჟთა	პერსონ აჟ თა
მტრის	მ ტრ ის
შთამომავლების	შთამო მავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობ ის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	დაე კავებ ინათ
ფეტვი	ფე ტვი
სპაიკ	სპაი კ
ნიშებში	ნი შ ებში
გაბნეულ	გაბ ნეულ
მუნიოსი	მ უნიოს ი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ ი ურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომა კვდავ მა
საქმიანობასთან	საქმ იანობ ასთან
საწყისი	საწყ ის ი
ათვისების	ათვის ებ ის
თავდაცვითი	თავ დაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტ ოს ი
მანიაკალური	მანი აკ ალური
სათავსს	სა თავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმ ბი ს
მძვინვარე	მძვინ ვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღ ეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბ რ ები
მიიღო	მი იღ ო
ჩურჩხელა	ჩურჩ ხელ ა
მონასტრის	მონ ასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არე ულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩ ქერ ია
მაძიებელი	მა ძი ებელი
ასეთები	ას ეთ ები
სამფლობელოები	სამფლობე ლო ები
შვეიცარიის	შვე იცარი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გა უკეთ ოს
არეს	არე ს
ჩაისა	ჩა ისა
დღესასწაულებს	დღესასწაულ ებს
