გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	სა ბურავ ი
ირჩევს	ირჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინ ებელია
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	არტეფაქტ ები
კორუფციულ	კორუფც იულ
ჭრიან	ჭრ იან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარმ ა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	და უშვ ებელია
ეწეოდნენ	ეწეო დნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	და უღალავ ი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლევირატი
აბულ	ა ბ ულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უ მატ ებს
წარმატებაც	წარმატ ებაც
ცისკრის	ცისკრ ის
გაანადგურებს	გაანა დგურ ებს
დამუშავებისას	და მუშავ ებისას
სასცენო	სა სცენ ო
სილვესტერ	სილვ ესტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალი ის
მუჰამადის	მუჰამ ადის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომა ვლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალობ ის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	დაე კავ ებინათ
ფეტვი	ფე ტვ ი
სპაიკ	სპ ა იკ
ნიშებში	ნიშ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მუნ იოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომაკვ დავ მა
საქმიანობასთან	საქმიანო ბას თან
საწყისი	სა წყის ი
ათვისების	ა თვისებ ის
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტოს ი
მანიაკალური	მან იაკ ალური
სათავსს	სა თავს ს
იმოგზაურეს	იმო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვ ინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღ ეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მი იღ ო
ჩურჩხელა	ჩურჩხე ლ ა
მონასტრის	მო ნასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელ ოები
შვეიცარიის	შვეიცარ იის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გაუ კეთ ოს
არეს	არე ს
ჩაისა	ჩა ისა
დღესასწაულებს	დღესა სწაულ ებს
იდეოლოგია	იდეოლოგ ია
წმიდანს	წმიდან ს
