გამოსხივება	გამოსხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	საბურ ავი
ირჩევს	ირჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამოცდ ებში
გასათვალისწინებელია	გასა თვალისწინ ებელია
გინახავს	გი ნახავ ს
კარსტულ	კარსტულ
არტეფაქტები	არტეფაქტ ები
კორუფციულ	კორუფცი ულ
ჭრიან	ჭრ იან
პენსიაში	პენსი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლო უ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვ ებელია
ეწეოდნენ	ეწე ოდნენ
ანათებდა	ანათ ებდა
დაუღალავი	დაუღალ ავი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლევირატ ი
აბულ	აბ ულ
დამარცხებით	დამარცხებ ით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადა იქცევ ა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ცის კრის
გაანადგურებს	გაანადგურ ებს
დამუშავებისას	დამუშავ ებისას
სასცენო	სა სცენ ო
სილვესტერ	სილვ ესტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალიის
მუჰამადის	მუჰამა დის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავ ლების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამოჩნ დებოდა
დაეკავებინათ	დაეკავ ებინათ
ფეტვი	ფეტ ვ ი
სპაიკ	ს პ აიკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნე ულ
მუნიოსი	მუ ნიოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალოთ
მომაკვდავმა	მომაკვდავ მა
საქმიანობასთან	საქმიანობ ასთან
საწყისი	საწყის ი
ათვისების	ათვის ების
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სიმართლ ეში
ლოტოსი	ლოტოს ი
მანიაკალური	მა ნიაკალური
სათავსს	სათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსა სრული
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმოი ღეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქე რია
მაძიებელი	მაძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სამფლობელოებ ი
შვეიცარიის	შვეიცარი ის
მოასწრეს	მოასწრ ეს
მიტოვების	მიტოვ ების
გაუკეთოს	გაუკეთ ოს
არეს	არე ს
ჩაისა	ჩაი სა
დღესასწაულებს	დღესასწა ულებს
იდეოლოგია	იდეოლოგი ა
წმიდანს	წმიდან ს
საყლაპავი	სა ყლაპავ ი
ფრანცისკო	ფრანცის კო
წყევლის	წყე ვლის
