გამოსხივება	გამო სხივებ ა
ოსები	ოს ები
მაგისტრი	მა გისტრ ი
თოვლს	თო ვლ ს
საბურავი	საბურ ავ ი
ირჩევს	ირჩევ ს
კუკის	კუ კ ის
მცდელობებს	მცდელ ობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინებ ელია
გინახავს	გი ნახავ ს
კარსტულ	კარ სტ ულ
არტეფაქტები	არტ ეფაქტ ები
კორუფციულ	კორუ ფცი ულ
ჭრიან	ჭრ იან
პენსიაში	პენ სი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარ მ ა
ქოხში	ქო ხ ში
ციმბირი	ციმ ბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვ ებელი ა
ეწეოდნენ	ე წეო დნენ
ანათებდა	ა ნათებ და
დაუღალავი	დაუღა ლავ ი
მთელ	მ თელ
მყოფი	მყოფ ი
ლევირატი	ლევი რატ ი
აბულ	აბ ულ
დამარცხებით	დ ამარცხებ ით
გლეხმა	გლეხ მა
თაღიანი	თა ღ იანი
ოცნებამ	ო ცნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონ ელ ი
პოზიცია	პოზიცი ა
უმატებს	უ მატებ ს
წარმატებაც	წარ მატებ აც
ცისკრის	ცისკ რ ის
გაანადგურებს	გაან ადგურ ებს
დამუშავებისას	და მუშავებ ისას
სასცენო	სა სცენ ო
სილვესტერ	სილვე სტერ
გომინდანის	გომინ დან ის
ვესტფალიის	ვესტ ფალ იის
მუჰამადის	მუჰა მად ის
პერსონაჟთა	პერსონა ჟ თა
მტრის	მ ტრ ის
შთამომავლების	შთამო მავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუა ლობ ის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	დაე კავებ ინათ
ფეტვი	ფე ტვ ი
სპაიკ	ს პა იკ
ნიშებში	ნი შ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მუნი ოს ი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობ ლი ურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომა კვდავ მა
საქმიანობასთან	საქმ იანობ ასთან
საწყისი	სა წყის ი
ათვისების	ა თვისებ ის
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლე ში
ლოტოსი	ლო ტოს ი
მანიაკალური	მანიაკ ალურ ი
სათავსს	სა თავს ს
იმოგზაურეს	იმო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ი ს
მძვინვარე	მძვინ ვარ ე
წინდებს	წინდებ ს
გადმოიღეს	გადმო იღ ეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბ რ ები
მიიღო	მი იღ ო
ჩურჩხელა	ჩურჩხ ელ ა
მონასტრის	მონ ასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არე ულობ ის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლი ს
ჩანჩქერია	ჩა ნჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ას ეთ ები
სამფლობელოები	სამფლობელ ო ები
შვეიცარიის	შვე იცარი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გა უკეთ ოს
არეს	არ ეს
ჩაისა	ჩა ისა
დღესასწაულებს	დღე სასწაულ ებს
