გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მა გისტრ ი
თოვლს	თოვლ ს
საბურავი	სა ბურავ ი
ირჩევს	ირჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზები
საჩოგბურთო	სა ჩოგბურ თო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინებელ ია
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	არტეფაქტ ები
კორუფციულ	კორუფც იულ
ჭრიან	ჭრ იან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარმ ა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	და უშვ ებელია
ეწეოდნენ	ეწ ე ოდნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	დაუ ღალავ ი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლევირატ ი
აბულ	ა ბულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატ ებაც
ცისკრის	ცისკ რ ის
გაანადგურებს	გაანა დგურ ებს
დამუშავებისას	და მუშავ ებისას
სასცენო	სა სცენ ო
სილვესტერ	სი ლვესტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალ იის
მუჰამადის	მუჰამად ის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავლ ებ ის
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	და ეკავ ებინათ
ფეტვი	ფე ტვ ი
სპაიკ	სპ აიკ
ნიშებში	ნიშ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მუ ნი ოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომა კვდავ მა
საქმიანობასთან	სა ქმიანობ ასთან
საწყისი	სა წყის ი
ათვისების	ა თვისებ ის
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტოს ი
მანიაკალური	მან იაკ ალური
სათავსს	სა თავს ს
იმოგზაურეს	იმო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მ ძვინვარე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღ ეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მი იღ ო
ჩურჩხელა	ჩურჩ ხელ ა
მონასტრის	მ ონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელო ები
შვეიცარიის	შვეიცა რი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გა უკეთ ოს
არეს	ა რ ეს
ჩაისა	ჩა ის ა
დღესასწაულებს	დღესა სწაულ ებს
იდეოლოგია	იდეოლოგ ია
წმიდანს	წმიდა ნს
