გამოსხივება	გამოსხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	საბურავ ი
ირჩევს	ირჩევ ს
კუკის	კ უკის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამოცდ ებში
გასათვალისწინებელია	გასა თვალისწინებელი ა
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	არტეფაქტ ები
კორუფციულ	კორუფცი ულ
ჭრიან	ჭრ იან
პენსიაში	პენსი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლო უ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვ ებელია
ეწეოდნენ	ეწეოდ ნენ
ანათებდა	ანათ ებდა
დაუღალავი	დაუღალა ვი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლევირატ ი
აბულ	ა ბულ
დამარცხებით	დამარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევა
იაპონელი	იაპონ ელი
პოზიცია	პოზიცი ა
უმატებს	უმატებ ს
წარმატებაც	წარმატებ აც
ცისკრის	ცის კრის
გაანადგურებს	გაანადგუ რებს
დამუშავებისას	დამუშავ ებისას
სასცენო	სა სცენ ო
სილვესტერ	სილვეს ტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალიის
მუჰამადის	მუჰამა დის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამოჩნდ ებოდა
დაეკავებინათ	დაეკავ ებინათ
ფეტვი	ფეტვ ი
სპაიკ	სპაი კ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნე ულ
მუნიოსი	მუ ნიოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალოთ
მომაკვდავმა	მომაკვდავ მა
საქმიანობასთან	საქმიან ობასთან
საწყისი	საწყის ი
ათვისების	ათვის ების
თავდაცვითი	თავდაც ვითი
გმირი	გმირ ი
მონაწილის	მონაწილ ის
სიმართლეში	სიმართლ ეში
ლოტოსი	ლოტოს ი
მანიაკალური	მან იაკალური
სათავსს	სათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსასრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩხ ელა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულ ობის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მაძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელ ოები
შვეიცარიის	შვეიცარი ის
მოასწრეს	მოასწ რეს
მიტოვების	მიტოვ ების
გაუკეთოს	გაუკეთ ოს
არეს	არეს
ჩაისა	ჩაი სა
დღესასწაულებს	დღესასწა ულებს
იდეოლოგია	იდეოლოგი ა
წმიდანს	წმიდან ს
საყლაპავი	საყლაპ ავი
ფრანცისკო	ფრანცის კო
წყევლის	წყევლ ის
