გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მა გისტრ ი
თოვლს	თოვლ ს
საბურავი	ს აბურავ ი
ირჩევს	ირჩევ ს
კუკის	კუკი ს
მცდელობებს	მცდელო ბ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გა სა თვალისწი ნებ ელი ა
გინახავს	გი ნახავს
კარსტულ	კარ ს ტულ
არტეფაქტები	ა რტეფაქტ ები
კორუფციულ	კო რუფცი ულ
ჭრიან	ჭრ იან
პენსიაში	პენსი აში
ორგანიზმში	ორგან იზმ ში
ლოუ	ლოუ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუ შვებ ელია
ეწეოდნენ	ეწე ოდნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	დაუღალ ავი
მთელ	მთელ
მყოფი	მყოფ ი
ლევირატი	ლევი რატი
აბულ	აბულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადა ი ქცევ ა
იაპონელი	იაპონ ელი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატ ებაც
ცისკრის	ც ის კრის
გაანადგურებს	გაა ნადგურ ებს
დამუშავებისას	და მუშავ ების ას
სასცენო	სა სცენ ო
სილვესტერ	სილ ვესტ ერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალი ის
მუჰამადის	მუჰამ ად ის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამო მავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამო ჩნ დებოდა
დაეკავებინათ	და ეკავ ები ნათ
ფეტვი	ფეტვი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბ ნეულ
მუნიოსი	მუნ იო სი
ორგანიზმის	ორგან ი ზმის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომაკვ დავ მა
საქმიანობასთან	საქმ იანობ ასთან
საწყისი	საწყ ის ი
ათვისების	ა თვის ების
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტოსი
მანიაკალური	მან ია კ ალური
სათავსს	სა თავს ს
იმოგზაურეს	ი მო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვინ ვა რე
წინდებს	წინდებ ს
გადმოიღეს	გადმო იღეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მი იღო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მონ ასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულო ბის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩა ნჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სამ ფლობელ ოები
შვეიცარიის	შვეი ცარი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გა უკეთ ოს
არეს	არეს
ჩაისა	ჩა ისა
დღესასწაულებს	დღე სა სწაულ ებს
იდეოლოგია	ი დე ოლოგი ა
წმიდანს	წმიდ ან ს
