გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მა გისტრ ი
თოვლს	თოვლ ს
საბურავი	სა ბურავ ი
ირჩევს	ი რჩევ ს
კუკის	კუკი ს
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწ ინ ებელი ა
გინახავს	გინ ახავს
კარსტულ	კარსტ ულ
არტეფაქტები	არტე ფაქტ ები
კორუფციულ	კორუფც იულ
ჭრიან	ჭრ იან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზ მ ში
ლოუ	ლოუ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუ შვებ ელი ა
ეწეოდნენ	ეწე ოდნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	დაუ ღალ ავი
მთელ	მთელ
მყოფი	მყოფ ი
ლევირატი	ლევი რატი
აბულ	აბულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადა ი ქცევა
იაპონელი	იაპონ ელი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ც ის კრის
გაანადგურებს	გა ა ნა დგურ ებს
დამუშავებისას	და მუშავ ების ას
სასცენო	სა სცენ ო
სილვესტერ	სილვ ე სტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვე სტ ფალ ი ის
მუჰამადის	მუჰამ ად ის
პერსონაჟთა	პერსონ აჟ თა
მტრის	მტრ ის
შთამომავლების	შთა მო მავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	და ეკავ ები ნათ
ფეტვი	ფე ტვი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნე ულ
მუნიოსი	მუნი ოს ი
ორგანიზმის	ორგანიზ მის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომაკვ დავ მა
საქმიანობასთან	სა ქმიანობა სთან
საწყისი	სა წყის ი
ათვისების	ა თვის ები ს
თავდაცვითი	თავ დაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტ ო ს ი
მანიაკალური	მანი ა კალ ური
სათავსს	სა თავს ს
იმოგზაურეს	ი მო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვინვ ა რე
წინდებს	წინდებ ს
გადმოიღეს	გადმო იღეს
დაპყრობისა	და პყრობ ის ა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩ ხელ ა
მონასტრის	მონა სტრ ის
რიცხვებამდე	რიცხვ ება მდე
არეულობის	არეულ ობის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლი ს
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელო ები
შვეიცარიის	შვეიც არი ის
მოასწრეს	მ ო ასწრ ეს
მიტოვების	მი ტოვ ების
გაუკეთოს	გა უკეთ ოს
არეს	ა რეს
ჩაისა	ჩა ისა
დღესასწაულებს	დღესასწ ა ულ ებს
იდეოლოგია	იდე ოლოგი ა
