აღებაც	აღებ აც
ბგერები	ბგერ ები
ფინეთმა	ფინეთ მა
დახვეწა	დახვეწ ა
ვილემ	ვილ ემ
მალაკის	მა ლაკ ის
ასაზრდოებს	ა საზრდო ებს
ბოლის	ბოლ ის
შუაღამისას	შუაღამ ისას
ჯვარის	ჯვარ ის
მეომრებმა	მეომრ ებმა
დაფაზე	დაფ აზე
რელიგიური	რელიგი ური
მოკვდავი	მო კვდავ ი
ნაგაზის	ნაგაზ ის
საკურთხეველზე	სა კურთხეველ ზე
ჯილდოების	ჯილდოებ ის
ფიჭური	ფიჭურ ი
ნიგერიის	ნიგერი ის
შებრუნდა	შე ბრუნდ ა
რსფსრ	რ სფსრ
საბალეტო	სა ბალეტ ო
სიგანეში	სიგანე ში
პეკინში	პეკინ ში
უბედურების	უბედურ ების
მინარეთი	მი ნა რეთ ი
გამოიყენებდა	გამო იყენებ და
ბენედიქტე	ბენედიქტ ე
გადაიყვანეს	გა და იყვან ეს
გეოლოგიურ	გეოლოგი ურ
კინემატოგრაფიულ	კინემატოგრაფ იულ
მონადირეები	მო ნადირე ები
სთავაზობდა	სთავაზობ და
ასპექტში	ასპექტ ში
ლანჩხუთის	ლანჩხუთ ის
სკოლამ	სკოლ ამ
მასწავლებლის	მა სწავლებლ ის
ომისშემდგომი	ომისშემდგომ ი
პატიმრებს	პატიმრებ ს
გათხარა	გა თხარ ა
დათა	დათ ა
რენოს	რენ ოს
გააგრძელეს	გა აგრძელ ეს
დარჩენილა	დარჩენილ ა
კარლუშ	კარლ უშ
უმანკო	უ მან კო
იმისგან	იმ ისგან
ითვისებენ	ითვისებ ენ
მასპინძელს	მა სპინძელ ს
დავალება	დავალებ ა
ცათამბჯენის	ცათამბჯენ ის
გადაადგილდებოდნენ	გადაადგილდ ებოდნენ
დამატებულია	და მატებ ულია
უმთავრესად	უმთავრეს ად
სკუდეტო	სკუდეტ ო
დიდებული	დიდებულ ი
ბელგრადში	ბელგრად ში
მიაღწიონ	მი აღწი ონ
მცველებს	მცველ ებს
ლაშქრობით	ლაშქრობ ით
რაიონებს	რაიონ ებს
სამხედროების	სა მხედროებ ის
გამოწვეულია	გამო წვეულ ია
ტურნეებს	ტურნე ებს
ოსმალებმა	ოსმალ ებმა
გარეშეა	გარეშე ა
იერარქიული	იერარქი ული
კუნთები	კუნთ ები
მადნეული	მადნეულ ი
ლეგენდებში	ლეგენდ ებში
ციტოპლაზმაში	ციტო პლაზმ აში
ვიშნუს	ვიშ ნუს
ჰერბიციდები	ჰერბიციდ ები
სამხედროები	სა მხედროებ ი
ინტერიერი	ინტერიერ ი
ჰიმალაის	ჰი მალაის
გაშენებულ	გა შენებულ
ოპონენტების	ოპონენტ ების
ქრომის	ქ რომ ის
გებრიელ	გებრიელ
შედეგები	შედეგ ები
სამეგრელოსა	სა მეგრელო სა
მონად	მონ ად
ქარიშხლისა	ქარიშხლ ისა
ქვეყნებში	ქვეყნ ებში
ფურცლებს	ფურცლ ებს
ალგორითმი	ა ლგორითმ ი
მთავარია	მთავარ ია
წიაღისეულის	წიაღისეულ ის
ბაგრატიონი	ბაგრატიონ ი
სმოლენსკში	სმოლენსკ ში
სიტყვით	სიტყვ ით
სულისაგან	სულ ისაგან
ფუტუნას	ფუტუნ ას
ცეცხლოვან	ცეცხლ ოვან
წუთს	წუთ ს
დასაწყისისთვის	და საწყის ისთვის
კომპანიამ	კომპანი ამ
ფაშიზმის	ფაშ იზმის
სტრაბონის	სტრაბონ ის
შემოსავლები	შემოსავლ ები
ინფორმაციულ	ინფორმაცი ულ
დაძლევა	და ძლევ ა
შეტყობინებათა	შე ტყობინებ ათა
აწყდება	ა წყდ ება
პოპულარობისა	პოპულარობ ისა
სტუდიას	სტუდი ას
ძველმა	ძველ მა
გემის	გემ ის
ღამურების	ღამურ ების
ფეხბურთელის	ფეხბურთელ ის
ჩამოროს	ჩამორო ს
ოტავის	ოტავ ის
ავად	ავად
გარდაცვალებით	გა რდაცვალ ებით
მხატვრობის	მხატვრობ ის
იოკო	იო კო
კალიმანტანის	კალიმანტან ის
კოსმოგონიური	კოსმ ოგონიური
პოპულაციის	პოპულაცი ის
ინაუგურაცია	ინაუგურ აცია
გამოასწორა	გამო ასწორ ა
მხარდაჭერას	მხარდაჭერ ას
ფილიპსმა	ფილიპს მა
წევრებისთვის	წევრ ების თვის
ეძლეოდათ	ეძლ ე ოდათ
ეპილეფსიის	ეპილეფსი ის
სანაპიროსა	სანაპიროს ა
ურთულეს	ურთულ ეს
დეკარტეს	დე კარტ ეს
ერთეულს	ერთეულ ს
ცვალებადობას	ცვალებადობ ას
მალდერი	მალდერ ი
სკულპტურებს	სკულპტურ ებს
დებატები	დებატებ ი
პოლიტიკოსების	პოლიტიკოს ების
გვევლინებიან	გვევლინ ებიან
კვანძების	კვანძ ების
ოთხსართულიანი	ოთხ სართულ იანი
ხარკოვში	ხარკოვ ში
ანსოატეგის	ანსოატეგ ის
ბრალია	ბრალ ია
ცენზორის	ცენზორ ის
ჩინებულად	ჩინებულ ად
შეღრმავებაში	შე ღრმავებ აში
ფრაგმენტული	ფრაგმენტ ული
ალიოშა	ალიოშ ა
მესაქონლეობით	მე სა ქონლეობ ით
მუზეუმი	მუზეუმ ი
პირობებით	პირობებ ით
სიგელი	სიგელ ი
ლიტრ	ლიტრ
ქსელით	ქსელ ით
ბერმა	ბერ მა
გაყიდვები	გა ყიდვ ები
ითვალისწინებდნენ	ითვალისწინებ დნენ
ცხოველების	ცხოველებ ის
თანხები	თანხ ები
ჯემს	ჯემ ს
გვხდება	გვ ხდ ება
ოსტროვსკის	ოსტროვსკ ის
ფიგურირებდა	ფიგურირებ და
საკრუიზო	სა კრუ იზო
შარიაჟული	შარიაჟ ული
მიტჩელი	მიტჩელ ი
მეფეების	მეფე ების
რომ	რომ
მალავიში	მალავ ი ში
ბირჟაზე	ბირჟ აზე
ფერმერებს	ფერმერ ებს
არქიტექტურული	არქიტექტურ ული
დათრგუნვა	და თრგუნ ვა
მიეძღვნა	მი ეძღვნ ა
პოულობდა	პოულობ და
ცდა	ცდ ა
სულთნის	სულთნ ის
მიაძაკის	მი აძაკ ის
შევჩენკომ	შე ვჩენკო მ
გაუძლებდა	გა უ ძლებ და
თესლოვანი	თესლ ოვანი
კონტინგენტი	კონტ ინგენტი
ნიკა	ნიკ ა
დებულებას	დებულებ ას
გართულებით	გა რთულებ ით
ბეროუზი	ბეროუზი
მოჩვენებებს	მოჩვენებ ებს
საჭიროებენ	საჭიროებ ენ
ივლისს	ივლის ს
თანამედროვეთა	თანამედროვე თა
პრეზიდენტებს	პრეზიდენტ ებს
