გამოსხივება	გამოსხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	საბურავ ი
ირჩევს	ი რჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამოცდ ებში
გასათვალისწინებელია	გასა თვალისწინ ებელი ა
გინახავს	გი ნახავს
კარსტულ	კარსტ ულ
არტეფაქტები	ა რტეფაქტ ები
კორუფციულ	კორუფცი ულ
ჭრიან	ჭრ იან
პენსიაში	პენსი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარმა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვებელი ა
ეწეოდნენ	ეწეო დნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	დაუღალავ ი
მთელ	მთელ
მყოფი	მყოფი
ლევირატი	ლევირატი
აბულ	აბულ
დამარცხებით	დამარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღიანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაიქცევ ა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ცის კრის
გაანადგურებს	გაანადგურ ებს
დამუშავებისას	დამუშავ ების ას
სასცენო	სა სცენ ო
სილვესტერ	სილვესტერ
გომინდანის	გომინ და ნის
ვესტფალიის	ვესტ ფალი ის
მუჰამადის	მუჰამ ად ის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამოჩნდ ებოდა
დაეკავებინათ	დაეკავ ებინათ
ფეტვი	ფეტვი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნეულ
მუნიოსი	მუ ნიოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავშალოთ
მომაკვდავმა	მომაკვ დავ მა
საქმიანობასთან	საქმიანობ ას თან
საწყისი	საწყ ისი
ათვისების	ა თვის ების
თავდაცვითი	თავდაცვ ით ი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სიმართლე ში
ლოტოსი	ლოტოს ი
მანიაკალური	მან ი აკ ალური
სათავსს	სათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსასრულ ი
კოლუმბის	კოლუმბი ს
მძვინვარე	მძვინვარ ე
წინდებს	წინდებ ს
გადმოიღეს	გადმო იღეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებელი
ასეთები	ასეთ ები
სამფლობელოები	სამფლობელო ები
შვეიცარიის	შვეიცარი ის
მოასწრეს	მოასწრ ეს
მიტოვების	მიტოვ ების
გაუკეთოს	გაუკეთ ოს
არეს	ა რეს
ჩაისა	ჩა ი სა
დღესასწაულებს	დღესა სწაულ ებს
იდეოლოგია	იდეოლოგი ა
წმიდანს	წმიდან ს
საყლაპავი	სა ყლაპავ ი
ფრანცისკო	ფრანცისკო
წყევლის	წყევლ ის
