გამოსხივება	გამოსხივ ება
ოსები	ო სები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	საბურავ ი
ირჩევს	ი რჩევ ს
კუკის	კუკ ის
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამოცდ ებში
გასათვალისწინებელია	გასა თვალისწინ ებელია
გინახავს	გ ინახავს
კარსტულ	კარსტ ულ
არტეფაქტები	არტეფაქტ ები
კორუფციულ	კორუფც ი ულ
ჭრიან	ჭრ იან
პენსიაში	პენსი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარმა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვებელი ა
ეწეოდნენ	ეწეო დნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	დაუღალ ავი
მთელ	მთელ
მყოფი	მყოფი
ლევირატი	ლევირატი
აბულ	აბულ
დამარცხებით	დამარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღიანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადა ი ქცევა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცია
უმატებს	უმატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ც ის კრის
გაანადგურებს	გაანადგურ ებს
დამუშავებისას	დამუშავ ებისა ს
სასცენო	სა სცენ ო
სილვესტერ	სილვესტ ერ
გომინდანის	გომინ დან ის
ვესტფალიის	ვესტფალ იის
მუჰამადის	მუჰამად ის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამოჩნ დებოდა
დაეკავებინათ	დაეკავ ებინათ
ფეტვი	ფეტვი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნეულ
მუნიოსი	მუნ ი ოს ი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომაკვ დავმა
საქმიანობასთან	საქმიანობ ასთან
საწყისი	საწყის ი
ათვისების	ა თვის ების
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სიმართლ ეში
ლოტოსი	ლოტოსი
მანიაკალური	მან ია კალ ური
სათავსს	სათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსასრულ ი
კოლუმბის	კოლუმბი ს
მძვინვარე	მძვინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებელი
ასეთები	ასეთ ები
სამფლობელოები	სამფლობელო ები
შვეიცარიის	შვეიცარი ის
მოასწრეს	მო ასწრეს
მიტოვების	მიტოვებ ის
გაუკეთოს	გაუკეთ ოს
არეს	არეს
ჩაისა	ჩა ისა
დღესასწაულებს	დღე სასწაულ ებს
იდეოლოგია	იდეოლოგი ა
წმიდანს	წმიდან ს
საყლაპავი	სა ყლაპავ ი
ფრანცისკო	ფრანცისკო
წყევლის	წყევლ ის
