ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ი ს
დილის	დილ ი ს
შირაზის	შირაზი ს
მაკედონელს	მაკედონ ელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ებ ი
მომდინარე	მო მდინარ ე
მემკვიდრეობას	მემკვიდრეობ ას
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიე მხრ ნენ
გაეძლიერებინა	გაე ძლიერ ებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მოუთხრ ო
ყოველთვიურად	ყოველთვ იურ ად
იაკუტიის	იაკუ ტი ის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარიან ი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებ ული
ჯეიმზის	ჯეიმზ ი ს
მოხუცმა	მოხუც მ ა
ლინი	ლინ ი
შრეთა	შრე თ ა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნ ობ ენ
ტანისამოსში	ტანისამო ს ში
აქლემის	აქლემ ი ს
მარკესის	მარკეს ი ს
წარმატებაში	წარმატებ ა ში
გასინჯვის	გასინჯვ ი ს
ცხიმის	ცხიმ ი ს
კომპონენტები	კომპონენტ ებ ი
გალიაში	გალი ა ში
მოიხსენიება	მოიხსენი ებ ა
ნაგებობების	ნაგებობ ებ ის
ანთროპოგენური	ანთროპ ოგენურ ი
ხახის	ხახ ი ს
ექსპერიმენტის	ექსპერიმენტ ი ს
გარკვეულწილად	გარკვეულ წილად
თორნიკემ	თორნიკ ემ
კოსა	კ ოს ა
მოსამართლეთა	მო სამართლე თა
სადღესასწაულო	სა დღესასწა ულ ო
გვერდები	გვერდ ებ ი
პრესტიჟის	პრესტიჟ ი ს
ყბას	ყბ ას
შემოტევების	შემოტევ ებ ის
კანალიზაცია	კან ალიზაცი ა
დეივისმა	დეივის მ ა
ფარით	ფარ ით
არისტოკრატები	არისტოკრატ ებ ი
ინაუგურაციის	ინაუგურ აცი ის
ვენერის	ვენერ ი ს
ფრანც	ფრან ც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ი ა
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ი ს
განსხვავების	განსხვავ ებ ის
ეკვეთნენ	ე კვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირი ონ ი
გავლენას	გავლენ ას
მებრძოლს	მე ბრძოლ ს
ნარჩენები	ნარჩენ ებ ი
დაჯილდოების	დაჯილდო ებ ის
გავიგე	გა ვიგ ე
მაინცდამაინც	მაინცდა მაინც
გაიმეორა	გა იმეორ ა
ინიციატორი	ინიციატ ორ ი
ნაგებობებიდან	ნაგებობ ებ იდან
სიქსერსის	სიქს ერს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზა ნ ულ
ფაუნის	ფაუნ ი ს
კლასიკური	კლასიკურ ი
აღდგენისა	აღდგენ ის ა
მიყვანილი	მი ყვანილ ი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარებ ს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ი ს
გიგანტის	გიგანტ ი ს
ეკატერინე	ეკატერინ ე
აინტერესებდა	ა ინტერეს ებდა
ვენაში	ვენ ა ში
ქვედაზე	ქვედა ზ ე
