იტალიასთან	იტა ლი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სა მთავრო სა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ე ები
ევდოკია	ევდ ოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდ ა
მთავარსარდლობის	მთავარსარდ ლ ობის
ასტრონომია	ასტრო ნომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სი გარეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰო ლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პი ტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სა რკ ეში
დისკრეტული	დის კრეტ ული
კლონი	კ ლონ ი
მუსლიმური	მუს ლიმ ური
იდენტიფიცირება	იდენტი ფიცირებ ა
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შან იძ ე
ეტლს	ეტ ლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხ რან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნე ხი ს
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ე კითხ ებოდა
ვერსიაც	ვერსი აც
სცა	ს ც ა
კედელში	კე დელ ში
დარგი	და რგ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მო სინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანა დრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პრო ტესტანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სა ხე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	და პირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აც ტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	აი ნშტაინ ის
საღამოები	სა ღამო ები
თეორემის	თეო რემ ის
გადაურჩნენ	გადა ურჩ ნენ
კელტთა	კელ ტ თა
ითხოვა	ი თხოვ ა
სპორტისა	ს პორტ ისა
ერიქსონის	ერი ქსონ ის
ჩერნიგოვის	ჩერნი გ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარებ დნენ
გულაგის	გუ ლაგ ის
ამოვსებულია	ამო ვსებული ა
ფერდობების	ფერ დობ ების
გასაკვირი	გასა კვირ ი
დისკში	დისკ ში
პარალელურად	პარ ალელ ურად
კარლაილს	კარლაილ ს
ჰენი	ჰ ენ ი
შეფერილობით	შე ფერილ ობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალ დ უმ
რაზდანის	რაზდა ნ ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰა ერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ობრივ ი
ქარგა	ქარგ ა
ხისტი	ხ ისტი
მოქალაქეები	მო ქალაქე ები
დაემთხვა	დაემთ ხვ ა
წარმოშობილი	წარმო შობ ილი
უბნის	უბ ნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსო ნომი ურ
დაიღუპა	დაი ღუპ ა
არიანე	არ იანე
მორისი	მო რის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომ ნელებელ ი
კულმინაციას	კულ მინაცი ას
მოკლეს	მო კლ ეს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდებ ად
ყურეს	ყურ ეს
გაერთიანებაში	გ აერთიანებ აში
დაცვითი	და ცვ ითი
კანტატები	კანტა ტ ები
ჯანელიძის	ჯან ელიძ ის
ბუნებას	ბუ ნებ ას
ხეები	ხე ები
ნეოლითის	ნეო ლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	სა ყვარელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნაგა ზ ი
შეყვარებულის	შე ყვარებულ ის
წყალმარჩხ	წყალმარ ჩხ
გაქრება	გა ქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთ მოძღვრ ება
აცილებული	ა ცილებ ული
აისახება	აი სახ ება
ცდება	ც დება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომხიბ ლავ ი
დამფუძნებელია	დამ ფუძნებ ელია
ესპანურ	ესპან ურ
პრემიერ	პრე მიერ
შეზღუდვებს	შე ზღუდ ვებს
შოუზე	შო უ ზე
ჭანტურია	ჭანტ ური ა
კეჩუას	კე ჩუ ას
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრზენ ი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰო პკინზ მა
ჩემპიონატს	ჩემპიონა ტ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფი გარ ოს
მეოთხეა	მეოთხ ე ა
გარანტიას	გა რანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექტი ულ ია
პოზიტიური	პოზიტ იურ ი
რიტორიკა	რიტორიკ ა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდა ცვ ისა
ატლანტისი	ატლ ანტ ისი
პლინიუს	პლი ნიუს
ჯოზეფი	ჯო ზეფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდ ენტ
ჰიურემ	ჰი ურ ემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბე ნდ ი
ვარიანტი	ვარ იანტ ი
კლდეკარის	კლდეკა რ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მო ქალაქე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნა თელ აშვილის
მიახლოებით	მი ახლო ებით
მუხისფარს	მუხ ისფარ ს
კომისარიატის	კომის არიატ ის
პიტერმა	პიტერ მა
მონიტორები	მონი ტორ ები
ინვესტორი	ინვესტ ორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრადაშ ჩევიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	საიმპერ ატორ ო
კატაკლიზმები	კატაკლი ზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	დაა რღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულ ტივირებ ა
ჩათვლა	ჩა თვლ ა
ფისი	ფი ს ი
გადაღებულმა	გადა ღ ებულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხი კვ აძე
ფრანკფურტში	ფრან კფურტ ში
მფარველობას	მ ფარველ ობას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრანცი სკან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბე ლ ა
გელათში	გე ლათ ში
ოცდაათწლიანი	ოცდაათ წლიანი
ლიდერმა	ლი დერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულგარ ეთ ი
მოჰკიდა	მოჰ კიდ ა
სპარტელთა	სპარ ტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობ ა
პანკრეასის	პან კრეას ის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბ ავ ში
დედინაცვალი	დედინაც ვ ალი
ამოშენებულია	ამო შენ ებულია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
რონდელი	რო ნდ ელი
