იტალიასთან	იტალი ასთან
ბოლოთი	ბოლოთი
სამთავროსა	სამთავრო სა
მითანის	მით ანის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლო ება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	დასწამა
პაკეტში	პაკეტ ში
რობერ	რობ ერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარსარდ ლობის
ასტრონომია	ასტრონომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	და სა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	ს ინგ ა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნი
სარკეში	სარკე ში
დისკრეტული	დის კრეტული
კლონი	კლონ ი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტ იფიცირება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შანიძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნ ეხ ის
სურვილისამებრ	სურვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირისპირებ ის
სისხლსა	სისხლსა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარი
მამამ	მა მა მ
ეკავათ	ეკავა თ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველაფრ ით
ნომინანტი	ნომინანტ ი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ი თხოვა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქსონი ს
ჩერნიგოვის	ჩერნიგოვის
ცერემონიაზე	ცერემონია ზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გა ყვება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარებ დნენ
გულაგის	გულაგის
ამოვსებულია	ა მოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელურ ად
კარლაილს	კარლ ა ილ ს
ჰენი	ჰენ ი
შეფერილობით	შეფერილ ობით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ დან ის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ობრივი
ქარგა	ქარ გა
ხისტი	ხის ტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	დაემთხვა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელებელ ი
კულმინაციას	კულმინაცია ს
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვანა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელწოდებ ად
ყურეს	ყურეს
გაერთიანებაში	გაერთიანება ში
დაცვითი	დაცვ ით ი
კანტატები	კანტა ტ ები
ჯანელიძის	ჯან ელიძის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარელ იძე
ჩაუთვალა	ჩა უთვალა
კლდოვანი	კლდოვან ი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთ მოძღვრება
აცილებული	აცილებ ული
აისახება	ა ისახება
ცდება	ცდება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელობა
მომხიბლავი	მომ ხიბლავ ი
დამფუძნებელია	დამფუძნ ებელი ა
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტური ა
კეჩუას	კეჩუა ს
სოლისტი	სოლისტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფი გა როს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტ ი ულია
პოზიტიური	პოზიტ ი ური
რიტორიკა	რიტორიკ ა
სამწერლო	სამწერლო
აქტიურები	აქტიურ ები
წოდებაც	წოდება ც
თავდაცვისა	თავდაცვ ის ა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ასვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰ იურ ემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტ ეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გაშლ ი ს
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლო ებით
მუხისფარს	მუხის ფარ ს
კომისარიატის	კომისარი ა ტის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლა
გრადაშჩევიჩის	გრადა შჩევიჩ ის
ეცნობა	ე ცნობა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატა კლ იზმ ები
ქვედაზე	ქვედა ზე
მხრივაც	მხრივ აც
დუელში	დუელ ში
გარემონტდა	გარემო ნტდა
დაარღვიეს	და არღვიეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონურ ის
კულტივირება	კულტივირ ება
ჩათვლა	ჩათვლ ა
ფისი	ფისი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურ ტში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩა მოკვეთილი
გადარჩევა	გადა რჩევა
ქვესკნელის	ქვესკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცის კან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარეთ ი
მოჰკიდა	მო ჰკიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პანკრეას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	და ველაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ი ნაცვალი
ამოშენებულია	ამოშენებული ა
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუღ ეს
შემოსვლის	შემოსვლ ის
რონდელი	რონდელ ი
კავკასიელ	კავკასი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმაა
სათანადოდ	სათანადო დ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვე ზუვ ის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვ ება
პოლონური	პოლონ ური
გააფთრებული	გა აფთ რებული
გაჩერებას	გაჩერ ებას
