ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონ ელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ებ ი
მომდინარე	მო მდინარ ე
მემკვიდრეობას	მემკვიდრე ობ ას
პუნქტებს	პუნქტ ებ ს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიემხრ ნ ენ
გაეძლიერებინა	გაე ძლიერ ებინა
გიტარისტმა	გიტარ ისტ მა
მოუთხრო	მოუ თხრ ო
ყოველთვიურად	ყოველ თვი ურად
იაკუტიის	იაკუტ ი ის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარ იან ი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებულ ი
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მ ა
ლინი	ლინ ი
შრეთა	შრე თ ა
მოაწყეს	მო აწყ ეს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისამო ს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ ა ში
გასინჯვის	გა სინჯ ვ ის
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენტ ებ ი
გალიაში	გალ ი აში
მოიხსენიება	მოიხსენიებ ა
ნაგებობების	ნაგებობ ებ ის
ანთროპოგენური	ანთროპოგენ ურ ი
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმ ენტ ის
გარკვეულწილად	გარკვეულ წილ ად
თორნიკემ	თორნიკ ემ
კოსა	კოს ა
მოსამართლეთა	მოსამართლე თ ა
სადღესასწაულო	სა დღესასწა ულ ო
გვერდები	გვერდ ებ ი
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ებ ის
კანალიზაცია	კან ალიზაცი ა
დეივისმა	დეივის მ ა
ფარით	ფარ ით
არისტოკრატები	არისტოკრატ ებ ი
ინაუგურაციის	ინაუგურ აცი ის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებ ს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ი ა
არსებობაც	არსებ ობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავ ებ ის
ეკვეთნენ	ე კვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირი ონი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ებ ი
დაჯილდოების	დაჯილდო ებ ის
გავიგე	გა ვიგ ე
მაინცდამაინც	მაინცდა მაინც
გაიმეორა	გაიმეორ ა
ინიციატორი	ინიციატორ ი
ნაგებობებიდან	ნაგებობ ებ იდან
სიქსერსის	სიქსერ ს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლას იკ ური
აღდგენისა	აღდგენ ის ა
მიყვანილი	მი ყვანილ ი
მფრინავის	მ ფრინავ ის
კომენტარებს	კომენტარ ებ ს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერი ნ ე
აინტერესებდა	აინტერეს ებ და
ვენაში	ვენ ა ში
ქვედაზე	ქვედა ზე
