ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ები
მომდინარე	მო მდინარე
მემკვიდრეობას	მემკვიდრე ობა ს
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მ იემხრ ნენ
გაეძლიერებინა	გა ე ძლიერ ები ნ ა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მო უთხრ ო
ყოველთვიურად	ყოველთვი ურად
იაკუტიის	იაკუტ ი ის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარ იანი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებულ ი
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისამოს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ აში
გასინჯვის	გა სინჯ ვ ის
ცხიმის	ცხიმ ის
კომპონენტები	კომ პონენტ ებ ი
გალიაში	გალი აში
მოიხსენიება	მო იხსენი ება
ნაგებობების	ნაგებობებ ის
ანთროპოგენური	ანთროპოგენურ ი
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმენტ ის
გარკვეულწილად	გარკვეულ წილ ად
თორნიკემ	თორნიკ ემ
კოსა	კოს ა
მოსამართლეთა	მოსამართლ ეთ ა
სადღესასწაულო	სა დღესასწაუ ლ ო
გვერდები	გვერდ ები
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ების
კანალიზაცია	კანალიზ აცი ა
დეივისმა	დეივის მა
ფარით	ფარ ით
არისტოკრატები	არისტო კრატ ებ ი
ინაუგურაციის	ინაუგურაც ი ის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ი ა
არსებობაც	არსებობ აც
სპექტრში	სპექტ რ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავებ ის
ეკვეთნენ	ე კვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ები
დაჯილდოების	დაჯილდო ების
გავიგე	გა ვიგ ე
მაინცდამაინც	მაინც და მა ინ ც
გაიმეორა	გა ი მეორ ა
ინიციატორი	ინიციატორ ი
ნაგებობებიდან	ნაგებობებ იდან
სიქსერსის	ს იქსერ ს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკ ური
აღდგენისა	აღდგენ ის ა
მიყვანილი	მიყვან ილი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარ ებს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ე კატერინ ე
აინტერესებდა	ა ინტერეს ებ და
ვენაში	ვენ აში
ქვედაზე	ქვედ ა ზე
შუახმელეთში	შუა ხმელეთ ში
რედაქციას	რედაქცი ას
საცალფეხო	სა ცალ ფეხ ო
