იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრო სა
მითანის	მით ანის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევდოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლო ება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	დასწამ ა
პაკეტში	პაკეტ ში
რობერ	რობ ერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარსარდ ლობის
ასტრონომია	ასტრონომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასარბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინგაპ ურის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნ ი
სარკეში	სარკ ეში
დისკრეტული	დისკრეტ ული
კლონი	კლ ონი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფიცირებ ა
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შან იძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ო ლოგიის
წნეხის	წნეხ ის
სურვილისამებრ	სურვილ ის ამებრ
კანისა	კ ანის ა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სც ა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვიდგ ება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ ი ზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩახაზ ული
დაპირისპირების	დაპირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარჩოხ ის
ყოველგვარი	ყოველგვ არი
მამამ	მამ ამ
ეკავათ	ეკავ ათ
სკაუტების	სკაუტ ების
ყველაფრით	ყველაფრ ით
ნომინანტი	ნომინანტ ი
თანდასწრებით	თანდასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ითხოვ ა
სპორტისა	სპორტ ის ა
ერიქსონის	ერიქსონ ის
ჩერნიგოვის	ჩერნიგ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გაყვ ება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარებ დნენ
გულაგის	გულაგ ის
ამოვსებულია	ამოვს ებული ა
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურად
კარლაილს	კარლ აილ ს
ჰენი	ჰენ ი
შეფერილობით	შეფერილო ბით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზდან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდეგობ რივი
ქარგა	ქარ გ ა
ხისტი	ხ ისტ ი
მოქალაქეები	მოქალაქე ები
დაემთხვა	დაემთხვ ა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	საორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინ აცია ს
მოკლეს	მოკლ ეს
ჩამოიყვანა	ჩამოიყვან ა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელწოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კანტ ა ტები
ჯანელიძის	ჯანელ იძის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარ ელი ძე
ჩაუთვალა	ჩაუთვალ ა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებუ ლის
წყალმარჩხ	წყალმარჩ ხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმოძღვ რება
აცილებული	აცილებ ული
აისახება	აისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გაღარიბ ებული
მიწათმფლობელობა	მიწათმფლობელ ობა
მომხიბლავი	მომხიბლ ავი
დამფუძნებელია	დამფუძნებ ელი ა
ესპანურ	ესპან ურ
პრემიერ	პრემი ერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურ ია
კეჩუას	კეჩუ ას
სოლისტი	სოლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრზენ ი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზმა
ჩემპიონატს	ჩემპიონ ა ტს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფიგარ ოს
მეოთხეა	მეოთხ ე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარუდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტი ულია
პოზიტიური	პოზიტიურ ი
რიტორიკა	რიტორიკ ა
სამწერლო	სამწერ ლო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტის ი
პლინიუს	პლინ იუს
ჯოზეფი	ჯო ზეფ ი
ასვლას	ასვლ ას
დღე	დღ ე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზიდ ენტ
ჰიურემ	ჰიურ ემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდეკარ ის
ეკოსისტემის	ეკოსისტე მის
ფორტეპიანოსა	ფორტეპიან ოს ა
მთავარანგელოზი	მთავარანგელოზ ი
მოქალაქედ	მოქალაქ ედ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ ა შვილის
მიახლოებით	მიახლოებ ით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარ ია ტის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	საიმპერ ატორო
კატაკლიზმები	კატაკლიზმ ები
ქვედაზე	ქვედა ზე
მხრივაც	მხრივ აც
დუელში	დუელ ში
გარემონტდა	გარემონტდ ა
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონ ურის
კულტივირება	კულტივირ ება
ჩათვლა	ჩათვლ ა
ფისი	ფ ის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურტ ში
მფარველობას	მფარველობ ას
ჩამოკვეთილი	ჩამოკვეთ ილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცისკ ა ნელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰკიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გააფრთხილ ა
ობობა	ობობ ა
პანკრეასის	პანკრე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ური
საისტორიო	საისტორი ო
დაველაპარაკები	დაველაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ი ნაცვალი
ამოშენებულია	ამოშენ ებული ა
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატუ რით
მოუღეს	მოუღ ეს
შემოსვლის	შემოსვლ ის
რონდელი	რონდ ელი
კავკასიელ	კავკასი ელ
ბაკის	ბაკ ის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსა ბ
შარაძე	შარ აძე
ფორმაა	ფორმ ა ა
სათანადოდ	სათანად ოდ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზუ ვის
მწვერვალი	მწვერვალ ი
