ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებ ით
ინჟინერის	ინჟინერ ი ს
დილის	დილ ი ს
შირაზის	შირაზ ის
მაკედონელს	მაკედონ ელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ებ ი
მომდინარე	მო მდინარე
მემკვიდრეობას	მემკვიდრე ობ ას
პუნქტებს	პუნქტ ებ ს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებ ით
მიემხრნენ	მიემხრ ნ ენ
გაეძლიერებინა	გაე ძლიერ ებინა
გიტარისტმა	გიტარ ისტ მა
მოუთხრო	მოუ თხრ ო
ყოველთვიურად	ყოველთვ ი ურად
იაკუტიის	იაკუ ტი ის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარ იან ი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებულ ი
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მ ა
ლინი	ლინ ი
შრეთა	შრე თ ა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისამოს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატ ებ აში
გასინჯვის	გასინჯ ვ ის
ცხიმის	ცხიმ ი ს
კომპონენტები	კომპონ ენტ ები
გალიაში	გალი აშ ი
მოიხსენიება	მოიხსენიებ ა
ნაგებობების	ნაგებობ ებ ის
ანთროპოგენური	ანთროპ ოგენ ური
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმენტ ის
გარკვეულწილად	გარკვეულ წილ ად
თორნიკემ	თორნიკ ემ
კოსა	კო სა
მოსამართლეთა	მოსამართლე თა
სადღესასწაულო	სა დღესასწაუ ლ ო
გვერდები	გვერდ ებ ი
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ებ ის
კანალიზაცია	კან ალიზაცი ა
დეივისმა	დეივის მ ა
ფარით	ფარ ით
არისტოკრატები	არისტოკრა ტ ები
ინაუგურაციის	ინაუგუ რაცი ის
ვენერის	ვენ ერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებ ს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ია
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეის არ ის
განსხვავების	განსხვავ ებ ის
ეკვეთნენ	ე კვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ებ ი
დაჯილდოების	დაჯილდო ებ ის
გავიგე	გავიგ ე
მაინცდამაინც	მაინცდა მაინც
გაიმეორა	გაი მეორ ა
ინიციატორი	ინიცი ატორ ი
ნაგებობებიდან	ნაგებობ ებ იდან
სიქსერსის	სიქსერს ი ს
ესაზღვრება	ესაზღვრ ებ ა
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკ ურ ი
აღდგენისა	აღდგენ ის ა
მიყვანილი	მი ყვანილ ი
მფრინავის	მ ფრინავ ის
კომენტარებს	კომენტარ ებ ს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგ ი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერი ნ ე
აინტერესებდა	ა ინტერეს ებდა
ვენაში	ვენ აშ ი
ქვედაზე	ქვედა ზე
