ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინე რ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონ ელ ს
სტატუსს	სტა ტუ ს ს
ბანანები	ბანან ები
მომდინარე	მო მდინარე
მემკვიდრეობას	მემკვიდრე ობა ს
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიემხრ ნენ
გაეძლიერებინა	გა ე ძლიერ ებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მოუთხრ ო
ყოველთვიურად	ყოველ თვიურ ად
იაკუტიის	იაკუტი ის
სიცოცხლისუნარიანი	სიცოცხლ ის უნარიან ი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებული
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ე ს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისა მო ს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ აში
გასინჯვის	გა სინჯ ვის
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენ ტ ები
გალიაში	გალი აში
მოიხსენიება	მო იხსენი ება
ნაგებობების	ნაგებობ ებ ის
ანთროპოგენური	ანთროპოგენ ური
ხახის	ხახ ის
ექსპერიმენტის	ექს პერ ი მენ ტ ის
გარკვეულწილად	გა რკვეულ წილად
თორნიკემ	თორნიკ ემ
კოსა	კოს ა
მოსამართლეთა	მო სა მართლ ე თ ა
სადღესასწაულო	სა დღესასწაულ ო
გვერდები	გვერდ ები
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ა ს
შემოტევების	შემოტევ ების
კანალიზაცია	კანალიზაცი ა
დეივისმა	დეივის მა
ფარით	ფარ ით
არისტოკრატები	არისტოკრატ ები
ინაუგურაციის	ინაუგურ აციის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ია
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავებ ის
ეკვეთნენ	ე კვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ა ს
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ები
დაჯილდოების	დაჯილდო ების
გავიგე	გა ვიგ ე
მაინცდამაინც	მაინც დამაინც
გაიმეორა	გა იმეორ ა
ინიციატორი	ინიციატორ ი
ნაგებობებიდან	ნაგებობ ებ იდან
სიქსერსის	სიქსერ ს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკურ ი
აღდგენისა	აღდგენ ის ა
მიყვანილი	მი ყვანილ ი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარ ებს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ე კატერინ ე
აინტერესებდა	აინტერესებ და
ვენაში	ვენ აში
ქვედაზე	ქვე და ზე
შუახმელეთში	შუა ხმელეთ ში
რედაქციას	რედაქცი ა ს
საცალფეხო	სა ცალფეხო
უკეთესად	უკეთ ეს ად
