იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრო სა
მითანის	მი თან ის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლოება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	და სწამ ა
პაკეტში	პაკეტ ში
რობერ	რობერ
შემოდიოდა	შე მოდიოდა
მთავარსარდლობის	მთავარსარდლ ობის
ასტრონომია	ასტრონომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასარბევად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინგაპ ურის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნი
სარკეში	სარკე ში
დისკრეტული	დის კრეტ ული
კლონი	კლონ ი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფიცირებ ა
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შანიძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნ ეხის
სურვილისამებრ	სურვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირისპირებ ის
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარჩოხის
ყოველგვარი	ყოველგვარ ი
მამამ	მამ ამ
ეკავათ	ეკავა თ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველაფრი თ
ნომინანტი	ნომინანტ ი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ითხოვა
სპორტისა	სპორტ ის ა
ერიქსონის	ერიქსონი ს
ჩერნიგოვის	ჩერნი გ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გაყვება
აღწერითი	აღწერ ით ი
ავითარებდნენ	ავითარ ებდნენ
გულაგის	გულაგ ის
ამოვსებულია	ა მოვსებული ა
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელურ ა დ
კარლაილს	კარლ ა ილ ს
ჰენი	ჰენ ი
შეფერილობით	შეფერილ ობით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდუმ
რაზდანის	რაზ დან ის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდეგობრივ ი
ქარგა	ქარ გა
ხისტი	ხისტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმოშობილი
უბნის	უბ ნის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომიურ
დაიღუპა	დაიღუპ ა
არიანე	არიანე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელებელ ი
კულმინაციას	კულმინაცია ს
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვანა
რიგების	რიგ ების
მახსოვს	მ ახსოვს
სახელწოდებად	სახელწოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კანტატ ები
ჯანელიძის	ჯანელიძის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარელ იძე
ჩაუთვალა	ჩაუთვალ ა
კლდოვანი	კლდოვან ი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ი ს
წყალმარჩხ	წყალმარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთა
ხუროთმოძღვრება	ხუროთმოძღვრ ება
აცილებული	ა ცილებული
აისახება	ა ისახება
ცდება	ცდება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბებული
მიწათმფლობელობა	მიწათ მფლობელობა
მომხიბლავი	მომხიბ ლავი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურია
კეჩუას	კეჩუ ას
სოლისტი	სოლისტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირე ს
ფიგაროს	ფიგაროს
მეოთხეა	მეოთხეა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარუდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტი ულია
პოზიტიური	პოზიტიურ ი
რიტორიკა	რიტორიკ ა
სამწერლო	სამწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტის ი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰიურემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახეთ ში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდე კარის
ეკოსისტემის	ეკოსისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლოებ ით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარიატ ის
პიტერმა	პიტერმა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლიზმ ები
ქვედაზე	ქვედა ზე
მხრივაც	მხრივ აც
დუელში	დუელ ში
გარემონტდა	გა რემონტდა
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონ ური ს
კულტივირება	კულტივირება
ჩათვლა	ჩათვლ ა
ფისი	ფისი
გადაღებულმა	გადაღებულ მა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურტ ში
მფარველობას	მფარველობა ს
ჩამოკვეთილი	ჩამოკვეთილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცისკან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდაათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარეთ ი
მოჰკიდა	მო ჰკიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გააფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პანკრე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონური
საისტორიო	საისტორი ო
დაველაპარაკები	დაველაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ი ნაცვალი
ამოშენებულია	ა მოშენებულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მო უღეს
შემოსვლის	შემოსვლ ის
რონდელი	რონდელ ი
კავკასიელ	კავკასიელ
ბაკის	ბაკი ს
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმა ა
სათანადოდ	სათანადო დ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზუვის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვებ ა
პოლონური	პოლონურ ი
გააფთრებული	გა აფთ რებული
გაჩერებას	გაჩერ ება ს
დევიზი	დევიზი
ასრულდა	ა სრულდა
