იტალიასთან	იტალი ასთან
ბოლოთი	ბოლოთი
სამთავროსა	სამთავრო სა
მითანის	მითან ის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლოება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	დასწამ ა
პაკეტში	პაკეტ ში
რობერ	რობერ
შემოდიოდა	შემოდიოდა
მთავარსარდლობის	მთავარსარდ ლობის
ასტრონომია	ასტრონომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასარბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინ გა პურის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნი
სარკეში	სარკე ში
დისკრეტული	დისკრეტ ული
კლონი	კლო ნი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტი ფიცირება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შანიძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველოლოგიის
წნეხის	წნეხის
სურვილისამებრ	სურვილ ისამებრ
კანისა	კან ის ა
ეკითხებოდა	ეკითხებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირისპირ ების
სისხლსა	სისხლსა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველგვარ ი
მამამ	მა მამ
ეკავათ	ეკავა თ
სკაუტების	სკაუტ ების
ყველაფრით	ყველა ფრით
ნომინანტი	ნომინანტ ი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ი თხოვა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქსონი ს
ჩერნიგოვის	ჩერნი გოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გაყვება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარ ებდნენ
გულაგის	გულ ა გის
ამოვსებულია	ამოვსებული ა
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელურ ად
კარლაილს	კარლ აილს
ჰენი	ჰენ ი
შეფერილობით	შეფერილ ობით
დაბოლოებული	დაბოლოებული
რონალდუმ	რონალდუმ
რაზდანის	რაზდანის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველ ა მ
წინააღმდეგობრივი	წინააღმდეგობრივი
ქარგა	ქარ გა
ხისტი	ხის ტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	დაემთხვა
წარმოშობილი	წარმოშობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომიურ
დაიღუპა	დაიღუპ ა
არიანე	არიანე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელებელ ი
კულმინაციას	კულმინაცია ს
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამოიყვან ა
რიგების	რიგ ები ს
მახსოვს	მ ახსოვს
სახელწოდებად	სახელწოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კანტატ ები
ჯანელიძის	ჯან ელიძის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარელ იძე
ჩაუთვალა	ჩაუთვალ ა
კლდოვანი	კლდოვან ი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთა
ხუროთმოძღვრება	ხუროთმოძღვრ ება
აცილებული	აცილებ ული
აისახება	აისახ ება
ცდება	ცდება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელობა
მომხიბლავი	მომხიბლავი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურია
კეჩუას	კეჩუა ს
სოლისტი	სოლისტი
ტექნიკაზე	ტექნიკა ზე
ამაზრზენი	ამ აზრზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვებ ზე
ჰოპკინზმა	ჰოპკინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფიგაროს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგის
პერსპექტიულია	პერსპექტიულ ი ა
პოზიტიური	პოზიტიურ ი
რიტორიკა	რიტორიკა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდება ც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტის ი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ასვლა ს
დღე	დღე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰიურემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახეთ ში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდე კარის
ეკოსისტემის	ეკოსისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გა შლის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლოებ ით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარიატ ის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	ს ა იმპერატორ ო
კატაკლიზმები	კატაკლიზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დუელში
გარემონტდა	გა რემონტ და
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონ ურ ის
კულტივირება	კულტივირება
ჩათვლა	ჩათვლ ა
ფისი	ფის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურტ ში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩამოკვეთილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცისკანელ თა
რეიტინგული	რეიტინგ ული
ბელა	ბელა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათწლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარეთ ი
მოჰკიდა	მოჰკიდა
სპარტელთა	სპარტელ თა
გააფრთხილა	გააფრთხილ ა
ობობა	ობობ ა
პანკრეასის	პანკ რე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ურ ი
საისტორიო	სა ისტორი ო
დაველაპარაკები	და ვე ლაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ი ნაცვალი
ამოშენებულია	ა მოშენებული ა
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუღეს
შემოსვლის	შე მოსვლის
რონდელი	რონ დელი
კავკასიელ	კავკასიელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარაძე
ფორმაა	ფორმა ა
სათანადოდ	სათანადო დ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზუ ვის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვებ ა
პოლონური	პოლონურ ი
გააფთრებული	გა აფთ რებული
გაჩერებას	გაჩერ ებას
დევიზი	დევიზი
ასრულდა	ა სრულდა
ნაძვის	ნაძვი ს
