იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრო სა
მითანის	მით ანის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკია
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლოებ ა
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	და სწამ ა
პაკეტში	პაკეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარსარდ ლობის
ასტრონომია	ასტრონო მია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარე ტი
მოულოდნელობა	მოულოდ ნელობა
ალკოჰოლს	ალკოჰო ლს
დასარბევად	დასა რბევად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინ გაპურის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟნი
სარკეში	სარკ ეში
დისკრეტული	დისკ რეტული
კლონი	კლ ონი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტ იფიცირება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შან იძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველოლოგი ის
წნეხის	წნ ეხის
სურვილისამებრ	სურვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტ ანტიზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზული
დაპირისპირების	დაპირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხის
ყოველგვარი	ყოველ გვარი
მამამ	მამა მ
ეკავათ	ეკავ ათ
სკაუტების	სკაუტ ების
ყველაფრით	ყველა ფრით
ნომინანტი	ნომინანტ ი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამ ოები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელ ტთა
ითხოვა	ითხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქ სონის
ჩერნიგოვის	ჩერ ნიგოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გაყვ ება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარ ებდნენ
გულაგის	გულ აგის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელურ ად
კარლაილს	კარლ აილს
ჰენი	ჰენ ი
შეფერილობით	შეფერ ილობით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ დანი ს
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდეგ ობრივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	დაემთხვ ა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამოი ყვანა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელწოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კან ტატები
ჯანელიძის	ჯან ელიძის
ბუნებას	ბუნება ს
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოს ნური
საყვარელიძე	საყვარ ელიძე
ჩაუთვალა	ჩაუ თვალა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმოძღვ რება
აცილებული	აცილებ ული
აისახება	აისახ ება
ცდება	ც დება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათმფლობე ლობა
მომხიბლავი	მომხიბ ლავი
დამფუძნებელია	დამფუძნე ბელია
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტური ა
კეჩუას	კეჩუ ას
სოლისტი	სოლისტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრზენი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზმა
ჩემპიონატს	ჩემპიონა ტს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფი გაროს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნოს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტი ულია
პოზიტიური	პოზიტიურ ი
რიტორიკა	რიტორი კა
სამწერლო	სამწერლო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტ ისი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ასვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰიუ რემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდეკარ ის
ეკოსისტემის	ეკოსისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლოებ ით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარია ტის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშჩე ვიჩის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	საი მპერატორ ო
კატაკლიზმები	კატა კლ იზმები
ქვედაზე	ქვედა ზე
მხრივაც	მხრივ აც
დუელში	დუ ელში
გარემონტდა	გარემო ნტდა
დაარღვიეს	დაარღვ იეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბა იკონურის
კულტივირება	კულტივირებ ა
ჩათვლა	ჩათვლ ა
ფისი	ფი სი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურტში
მფარველობას	მფარვე ლობას
ჩამოკვეთილი	ჩა მოკვეთ ილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნე ლის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცის კანელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდაათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარეთ ი
მოჰკიდა	მოჰ კიდა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პან კრეასის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტონური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკე ბი
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედინაცვ ალი
ამოშენებულია	ამო შენებულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუ ღეს
შემოსვლის	შემოსვლ ის
რონდელი	რო ნდელი
კავკასიელ	კავკასი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსა ბ
შარაძე	შარ აძე
ფორმაა	ფორმ აა
სათანადოდ	სათანადო დ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზუ ვის
მწვერვალი	მწვერვალი
ეშვება	ეშვ ება
პოლონური	პოლონ ური
გააფთრებული	გა აფთ რებული
გაჩერებას	გაჩერ ებას
დევიზი	დევიზი
ასრულდა	ასრულ და
