იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრ ო სა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ე ები
ევდოკია	ევდ ოკია
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რობ ერ
შემოდიოდა	შემო დი ოდა
მთავარსარდლობის	მთავარსარდ ლ ობის
ასტრონომია	ასტრო ნომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სიგა რეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პი ტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თა ფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სა რკ ეში
დისკრეტული	დისკ რეტ ული
კლონი	კლ ონ ი
მუსლიმური	მუსლი მ ური
იდენტიფიცირება	იდენტ იფიცირ ება
შემოსევების	შემოს ევ ების
ხელაშვილი	ხელ აშვილ ი
შანიძე	შან იძ ე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხ რან ის
ქართველოლოგიის	ქართ ველ ოლოგიის
წნეხის	წნე ხ ის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ე კითხ ებოდა
ვერსიაც	ვერ სი აც
სცა	ს ც ა
კედელში	კე დელ ში
დარგი	და რგ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მოს ინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტ ანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სა ხე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	და პირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აც ტეკ თა
ქარჩოხის	ქარჩო ხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	აინ შტაინ ის
საღამოები	საღა მო ები
თეორემის	თეო რემ ის
გადაურჩნენ	გადაუ რჩ ნენ
კელტთა	კე ლტ თა
ითხოვა	ი თხოვ ა
სპორტისა	ს პორტ ისა
ერიქსონის	ერი ქსონ ის
ჩერნიგოვის	ჩერ ნიგოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამო ვს ებულია
ფერდობების	ფერდ ობ ების
გასაკვირი	გასა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურ ად
კარლაილს	კარ ლ აილს
ჰენი	ჰე ნ ი
შეფერილობით	შეფერ ილ ობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ დან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ობრივი
ქარგა	ქარ გა
ხისტი	ხ ისტ ი
მოქალაქეები	მოქალაქ ე ები
დაემთხვა	და ემთხვა
წარმოშობილი	წარმო შობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონ ომ იურ
დაიღუპა	დაი ღუპ ა
არიანე	არიან ე
მორისი	მორ ის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელ ი
კულმინაციას	კულ მინ აციას
მოკლეს	მო კლ ეს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდ ებად
ყურეს	ყურ ეს
გაერთიანებაში	გაერთიან ებ აში
დაცვითი	დაცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯანელი ძ ის
ბუნებას	ბუნ ებ ას
ხეები	ხე ებ ი
ნეოლითის	ნ ეოლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	საყვარ ელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შეყვარ ებულ ის
წყალმარჩხ	წყალ მარ ჩხ
გაქრება	გა ქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გა რე თა
ხუროთმოძღვრება	ხუროთ მოძღვრ ება
აცილებული	აცი ლებ ული
აისახება	აი სახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტ ურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომხიბ ლავ ი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვ ებს
შოუზე	შო უ ზე
ჭანტურია	ჭანტური ა
კეჩუას	კეჩუ ა ს
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრ ზენი
ფეხებში	ფეხ ებში
ქვებზე	ქვე ბ ზე
ჰოპკინზმა	ჰოპკ ინზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფი გარ ოს
მეოთხეა	მეოთ ხე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევ არ უდაბნოს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექტ იულ ია
პოზიტიური	პოზი ტიურ ი
რიტორიკა	რიტორ იკ ა
სამწერლო	სა მწერ ლო
აქტიურები	აქტიურ ები
წოდებაც	წოდ ებ აც
თავდაცვისა	თავ დაცვ ისა
ატლანტისი	ატლ ანტ ისი
პლინიუს	პლინ იუს
ჯოზეფი	ჯ ოზეფ ი
ასვლას	ას ვლ ას
დღე	დღე
თამაშებისა	თამაშები ს ა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰ იუ რემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბენ დ ი
ვარიანტი	ვარი ანტ ი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქ ე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნათელ აშვილ ის
მიახლოებით	მი ახლო ებით
მუხისფარს	მუხის ფარ ს
კომისარიატის	კომისარი ატ ის
პიტერმა	პიტერ მა
მონიტორები	მონი ტორ ები
ინვესტორი	ინვეს ტორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრადაშჩე ვიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	საიმპერ ატორ ო
კატაკლიზმები	კატაკლ იზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დ უელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულტივ ირ ება
ჩათვლა	ჩა თვლ ა
ფისი	ფის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსოვ ილ ისაგან
ჩხიკვაძე	ჩხიკ ვ აძე
ფრანკფურტში	ფრანკფურ ტ ში
მფარველობას	მფარ ველობ ას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვესკ ნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრანცი სკ ანელთა
რეიტინგული	რეი ტინგ ული
ბელა	ბელ ა
გელათში	გელ ათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლი დერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულ გარეთ ი
მოჰკიდა	მოჰ კიდ ა
სპარტელთა	ს პარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობ ა
პანკრეასის	პანკრეას ის
მკერდის	მკერდ ის
პლანქტონური	პლა ნქტ ონური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მომხ დარ მა
მონასტრების	მონა სტრ ების
ამბავში	ამბ ავ ში
დედინაცვალი	დედინა ცვალ ი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
