ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ებ ი
მომდინარე	მო მდინარე
მემკვიდრეობას	მემკვიდრეობ ას
პუნქტებს	პუნქტ ებ ს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიემხრ ნენ
გაეძლიერებინა	გაე ძლიერ ებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მო უთხრ ო
ყოველთვიურად	ყოველთვ იურად
იაკუტიის	იაკუტი ის
სიცოცხლისუნარიანი	სიცოცხლ ის უნარ იანი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებულ ი
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნ ობენ
ტანისამოსში	ტანისამო ს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ აშ ი
გასინჯვის	გა სინჯ ვ ის
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენტ ებ ი
გალიაში	გალი აშ ი
მოიხსენიება	მოიხსენი ება
ნაგებობების	ნაგებობ ებ ის
ანთროპოგენური	ანთროპოგენურ ი
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმენტ ის
გარკვეულწილად	გარკვეულ წილად
თორნიკემ	თორნიკე მ
კოსა	კოს ა
მოსამართლეთა	მოსამართლე თა
სადღესასწაულო	სა დღესასწაულ ო
გვერდები	გვერდ ებ ი
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ებ ის
კანალიზაცია	კანალიზაცი ა
დეივისმა	დეივის მა
ფარით	ფარ ი თ
არისტოკრატები	არისტოკრატ ებ ი
ინაუგურაციის	ინაუგურ აცი ის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებ ს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ი ა
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავ ებ ის
ეკვეთნენ	ეკვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ებ ი
დაჯილდოების	დაჯილდო ებ ის
გავიგე	გავიგ ე
მაინცდამაინც	მაინც დამა ინც
გაიმეორა	გა იმეორ ა
ინიციატორი	ინიციატორ ი
ნაგებობებიდან	ნაგებობ ებ ი დან
სიქსერსის	სიქსერს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკ ურ ი
აღდგენისა	აღდგენ ის ა
მიყვანილი	მიყვან ილი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარ ებ ს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერინ ე
აინტერესებდა	აინტერესებ და
ვენაში	ვენ აშ ი
ქვედაზე	ქვე და ზე
შუახმელეთში	შუა ხმელეთ ში
რედაქციას	რედაქცი ას
საცალფეხო	სა ცალფეხ ო
