ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ები
მომდინარე	მომდინარე
მემკვიდრეობას	მემკვიდრეობ ას
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიემხრ ნენ
გაეძლიერებინა	გაე ძლიერებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მოუთხრ ო
ყოველთვიურად	ყოველთვიურ ად
იაკუტიის	ია კუტ იის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარიანი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებული
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისამოს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ აში
გასინჯვის	გა სინჯვის
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენტ ები
გალიაში	გალი აში
მოიხსენიება	მო იხსენი ება
ნაგებობების	ნაგებობ ების
ანთროპოგენური	ანთროპოგენურ ი
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმენტ ის
გარკვეულწილად	გარკვეულ წილად
თორნიკემ	თორნიკ ემ
კოსა	კ ოსა
მოსამართლეთა	მოსამართლე თა
სადღესასწაულო	სა დღესასწაულ ო
გვერდები	გვერდ ები
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ების
კანალიზაცია	კანალიზაც ია
დეივისმა	დეივის მა
ფარით	ფარ ით
არისტოკრატები	არისტოკრატ ები
ინაუგურაციის	ინაუგურაცი ის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ია
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავებ ის
ეკვეთნენ	ე კვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ები
დაჯილდოების	დაჯილდო ების
გავიგე	გავი გე
მაინცდამაინც	მაინც დამაინც
გაიმეორა	გაიმეორ ა
ინიციატორი	ინიციატორი
ნაგებობებიდან	ნაგებობ ებიდან
სიქსერსის	სიქსერს ის
ესაზღვრება	ესაზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლას იკური
აღდგენისა	აღდგენ ისა
მიყვანილი	მ იყვანილი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარ ებს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერინ ე
აინტერესებდა	ა ინტერეს ებდა
ვენაში	ვენ აში
ქვედაზე	ქვე და ზე
შუახმელეთში	შუახმელ ეთში
რედაქციას	რედაქცი ას
საცალფეხო	სა ცალ ფეხო
უკეთესად	უკეთეს ად
ქვეშევრდომობაში	ქვე შევრდომ ობაში
ზეწოლამ	ზეწოლ ამ
