იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრ ოსა
მითანის	მით ანის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლო ება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	და სწამ ა
პაკეტში	პაკეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარსარდ ლობის
ასტრონომია	ასტრო ნომია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარე ტი
მოულოდნელობა	მოულოდნე ლობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინგაპ ურის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟნი
სარკეში	სარკ ეში
დისკრეტული	დის კრეტ ული
კლონი	კლო ნი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფიცირებ ა
შემოსევების	შემოსე ვების
ხელაშვილი	ხელ აშვილი
შანიძე	შან იძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნეხ ის
სურვილისამებრ	სურვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზული
დაპირისპირების	დაპირისპი რების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარი
მამამ	მამა მ
ეკავათ	ეკავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველაფრ ით
ნომინანტი	ნომინ ანტი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტაი ნის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ითხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქ სონის
ჩერნიგოვის	ჩერ ნიგოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭ ერით
გაყვება	გაყვ ება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარებ დნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალე ლურად
კარლაილს	კარლ აილს
ჰენი	ჰ ენი
შეფერილობით	შეფერილობ ით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ დანის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ობრივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქ ეები
დაემთხვა	დაემთხვ ა
წარმოშობილი	წარმოშობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაციო
ტაქსონომიურ	ტაქსონომიურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამოი ყვანა
რიგების	რიგ ების
მახსოვს	მ ახსოვს
სახელწოდებად	სახელწოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კან ტატები
ჯანელიძის	ჯან ელიძის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარ ელიძე
ჩაუთვალა	ჩაუ თვალა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარ ჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხურ ოთმოძღვ რება
აცილებული	აცილებ ული
აისახება	აისახ ება
ცდება	ც დება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათმფლობელ ობა
მომხიბლავი	მომ ხიბლავი
დამფუძნებელია	დამფუძნ ებელია
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტური ა
კეჩუას	კეჩუ ას
სოლისტი	სოლის ტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზმა
ჩემპიონატს	ჩემპიონ ატს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფიგა როს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნოს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტი ულია
პოზიტიური	პოზიტ იური
რიტორიკა	რიტორი კა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტის ი
პლინიუს	პლინიუს
ჯოზეფი	ჯო ზეფი
ასვლას	ასვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენ ტ
ჰიურემ	ჰიუ რემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდე კარის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტე პიანოსა
მთავარანგელოზი	მთავარანგელოზ ი
მოქალაქედ	მოქალაქ ედ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლო ებით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარიატ ის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლი ზმები
ქვედაზე	ქვე დაზე
მხრივაც	მხრივ აც
დუელში	დუ ელში
გარემონტდა	გა რემონტ და
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაი კონურის
კულტივირება	კულტივირებ ა
ჩათვლა	ჩათვლ ა
ფისი	ფის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურტში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩამო კვეთილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნე ლის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცის კანელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდაათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰ კიდა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გააფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პან კრეასის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	და ველაპარაკები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ინაცვალი
ამოშენებულია	ა მოშენებ ულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუ ღეს
შემოსვლის	შემო სვლის
რონდელი	რონ დელი
კავკასიელ	კავკასი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმ აა
სათანადოდ	სათანად ოდ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზ უვის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვ ება
პოლონური	პოლონ ური
გააფთრებული	გაა ფთ რებული
გაჩერებას	გაჩერ ებას
დევიზი	დევიზი
