იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თ ი
სამთავროსა	სა მთავრო სა
მითანის	მი თან ის
ალმანახი	ალმა ნა ხი
მოწმეები	მოწმ ე ები
ევდოკია	ევდოკია
ინტერესი	ინტერე სი
საიდუმლოება	სა იდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრა ს
დასწამა	და ს წამ ა
პაკეტში	პაკეტში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარ სარდლ ობის
ასტრონომია	ასტრონ ომი ა
ხარჯი	ხარჯ ი
სიგარეტი	ს იგარეტ ი
მოულოდნელობა	მო ულოდნ ელობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	და სა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	ს ინ გა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნი
სარკეში	სარკე ში
დისკრეტული	დისკ რე ტული
კლონი	კლო ნი
მუსლიმური	მ უსლიმ ური
იდენტიფიცირება	იდენტ ი ფიცირ ება
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შანიძე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პოემ ებ ის
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართვე ლ ოლოგი ის
წნეხის	წნეხის
სურვილისამებრ	სურვილ ის ამებრ
კანისა	კანი სა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმო გვ ი დგება
მოსინჯა	მო სინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარე შე ა
თანადროულია	თანა დრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტან ტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირისპ ირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩო ხის
ყოველგვარი	ყოველ გვარი
მამამ	მამამ
ეკავათ	ეკავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველ აფრით
ნომინანტი	ნომინა ნტი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	ა ინშტაინ ის
საღამოები	სა ღამო ები
თეორემის	თეორე მ ის
გადაურჩნენ	გადაუ რჩნენ
კელტთა	კელტ თა
ითხოვა	ითხოვ ა
სპორტისა	სპორტი სა
ერიქსონის	ერიქსონის
ჩერნიგოვის	ჩერ ნი გო ვის
ცერემონიაზე	ცერემონ ი აზე
მხარდაჭერით	მხარ დაჭერი თ
გაყვება	გა ყვება
აღწერითი	აღწერი თი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გულ ა გის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გა სა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალ ე ლურად
კარლაილს	კარლ ა ილს
ჰენი	ჰენ ი
შეფერილობით	შე ფერ ი ლობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ და ნის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინ ააღმდეგ ობრივ ი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქეები
დაემთხვა	დაემთხვ ა
წარმოშობილი	წარმო შობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზა ციო
ტაქსონომიურ	ტაქსონო მიურ
დაიღუპა	და იღუპ ა
არიანე	არია ნე
მორისი	მორის ი
სტრუქტურები	სტრუქტუ რები
მომნელებელი	მომ ნელ ებელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვანა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გა ერთიან ებაში
დაცვითი	დაცვ ითი
კანტატები	კანტა ტები
ჯანელიძის	ჯან ელი ძის
ბუნებას	ბუნ ებას
ხეები	ხე ები
ნეოლითის	ნეოლითის
ხელოსნური	ხელ ოს ნური
საყვარელიძე	სა ყვარ ელიძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდოვან ი
ნაგაზი	ნა გა ზი
შეყვარებულის	შე ყვარ ებულ ის
წყალმარჩხ	წყალ მარ ჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარე თა
ხუროთმოძღვრება	ხუროთმოძღ ვ რებ ა
აცილებული	აცილ ებული
აისახება	ა ი სახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტ ურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომ ხიბლ ავი
დამფუძნებელია	დამფუძნე ბელი ა
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურ ია
კეჩუას	კეჩუა ს
სოლისტი	ს ო ლის ტი
ტექნიკაზე	ტექნ იკა ზე
ამაზრზენი	ამ აზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰო პკინზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფი გა როს
მეოთხეა	მეოთხე ა
გარანტიას	გა რანტი ას
ნახევარუდაბნოს	ნახევა რ უდაბნო ს
ლუქსემბურგის	ლუქსემბ ურგი ს
პერსპექტიულია	პერ სპექტი ულია
პოზიტიური	პოზიტ იური
რიტორიკა	რიტორიკ ა
სამწერლო	სა მწერ ლო
აქტიურები	აქტიურ ები
წოდებაც	წოდ ებაც
თავდაცვისა	თავდაცვ ი სა
ატლანტისი	ა ტლანტ ის ი
პლინიუს	პლინ იუს
ჯოზეფი	ჯო ზეფ ი
ასვლას	ა სვლას
დღე	დღე
თამაშებისა	თამაშ ები სა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰიუ რემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარი ანტი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტ ეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გა შლის
ნათელაშვილის	ნათელ ა შვილი ს
მიახლოებით	მიახლო ებით
მუხისფარს	მუხის ფარს
კომისარიატის	კომის არია ტის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვეს ტორი
შეშლა	შე შლა
გრადაშჩევიჩის	გ რადაშჩ ევიჩ ის
ეცნობა	ე ცნობა
ხელფასი	ხელ ფას ი
საიმპერატორო	სა იმპერატო რო
კატაკლიზმები	კატა კლ იზმ ები
ქვედაზე	ქვე და ზე
მხრივაც	მხრივ ა ც
დუელში	დუ ელში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომიქ ს ებში
ბაიკონურის	ბა ი კონ ურის
კულტივირება	კულტ ი ვ ირება
ჩათვლა	ჩა თვლა
ფისი	ფის ი
გადაღებულმა	გადა ღებულ მა
ქსოვილისაგან	ქსოვი ლი საგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურტ ში
მფარველობას	მფარვე ლობა ს
ჩამოკვეთილი	ჩამო კვეთ ილი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნელი
ფრანცისკანელთა	ფრანც ის კან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათწლ იანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემო ი ფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰ კი და
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხი ლა
ობობა	ობ ობა
პანკრეასის	პანკ რე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლან ქ ტონ ური
საისტორიო	სა ის ტორიო
დაველაპარაკები	და ვე ლაპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტ რ ების
ამბავში	ამბავ ში
დედინაცვალი	დ ე დინ ა ცვალ ი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერა ტურ ით
მოუღეს	მოუღ ეს
შემოსვლის	შე მოსვლ ის
რონდელი	რონ დელი
კავკასიელ	კავკასი ელ
ბაკის	ბაკი ს
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლ უარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმ აა
