ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ები
მომდინარე	მომდინარ ე
მემკვიდრეობას	მემკვიდრეობ ას
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიემხრ ნენ
გაეძლიერებინა	გაე ძლიერებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მოუთხრ ო
ყოველთვიურად	ყოველთვიურ ად
იაკუტიის	ია კუტ იის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარიანი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებული
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისამოს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატ ებაში
გასინჯვის	გა სინჯვის
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენტ ები
გალიაში	გალი აში
მოიხსენიება	მოიხსენი ება
ნაგებობების	ნაგებობ ების
ანთროპოგენური	ანთროპოგენურ ი
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმენტ ის
გარკვეულწილად	გარკვეულ წილად
თორნიკემ	თორნიკე მ
კოსა	კო სა
მოსამართლეთა	მოსამართლ ეთა
სადღესასწაულო	სა დღესასწაულ ო
გვერდები	გვერდ ები
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ების
კანალიზაცია	კანალიზაცი ა
დეივისმა	დეივის მა
ფარით	ფარ ით
არისტოკრატები	არისტოკრატ ები
ინაუგურაციის	ინაუგურაცი ის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ია
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავ ების
ეკვეთნენ	ეკვეთ ნენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ები
დაჯილდოების	დაჯილდო ების
გავიგე	გავი გე
მაინცდამაინც	მაინც დამაინც
გაიმეორა	გაიმეორ ა
ინიციატორი	ინიციატორი
ნაგებობებიდან	ნაგებობ ებიდან
სიქსერსის	სიქსერს ის
ესაზღვრება	ესაზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკ ური
აღდგენისა	აღდგენ ისა
მიყვანილი	მიყვან ილი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარ ებს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერი ნე
აინტერესებდა	აინტერეს ებდა
ვენაში	ვენ აში
ქვედაზე	ქვე და ზე
შუახმელეთში	შუა ხმელეთ ში
რედაქციას	რედაქცი ას
საცალფეხო	სა ცალ ფეხო
უკეთესად	უკეთეს ად
ქვეშევრდომობაში	ქვე შევრდომ ობაში
