იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრ ო სა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ე ები
ევდოკია	ევდ ოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შ ენს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რობ ერ
შემოდიოდა	შემო დი ოდა
მთავარსარდლობის	მთავარსარდ ლ ობის
ასტრონომია	ასტრონ ომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარ ეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პ იტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თა ფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სარკ ე ში
დისკრეტული	დისკ რე ტული
კლონი	კლ ონ ი
მუსლიმური	მუს ლიმ ური
იდენტიფიცირება	იდენტ იფიცირ ება
შემოსევების	შემოს ევ ების
ხელაშვილი	ხელ აშვილ ი
შანიძე	შანი ძ ე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხ რან ის
ქართველოლოგიის	ქართველ ოლოგი ის
წნეხის	წ ნ ეხის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ე კითხ ებოდა
ვერსიაც	ვერ სი აც
სცა	ს ც ა
კედელში	კე დელ ში
დარგი	და რგ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მოს ინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულ ია
წლამდე	წ ლ ამდე
პროტესტანტიზმის	პროტესტ ანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სა ხე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	და პირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აც ტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	აინ შტაინ ის
საღამოები	საღა მო ები
თეორემის	თეორე მ ის
გადაურჩნენ	გადაუ რჩ ნენ
კელტთა	კელ ტ თა
ითხოვა	ი თხოვ ა
სპორტისა	ს პორტ ისა
ერიქსონის	ერი ქსონ ის
ჩერნიგოვის	ჩერნიგო ვ ის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამოვს ებულ ია
ფერდობების	ფერდ ობ ების
გასაკვირი	გასა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურ ად
კარლაილს	კარ ლ აილს
ჰენი	ჰენ ი
შეფერილობით	შეფერ ილ ობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ დან ის
არქტიკულ	არ ქტიკ ულ
ები	ებ ი
ჰაერთან	ჰა ერ თან
ვაჭრობდა	ვაჭრ ობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყვ ელ ამ
წინააღმდეგობრივი	წინააღმდეგ ობ რივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქ ე ები
დაემთხვა	დაემთ ხვ ა
წარმოშობილი	წარმო შობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაი ღუპ ა
არიანე	ა რიან ე
მორისი	მორი ს ი
სტრუქტურები	სტრუქტ ურ ები
მომნელებელი	მომნელ ებელ ი
კულმინაციას	კულ მინაც იას
მოკლეს	მოკლ ეს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გა ერთიან ებაში
დაცვითი	და ცვ ითი
კანტატები	კან ტატები
ჯანელიძის	ჯანელი ძ ის
ბუნებას	ბუნ ებას
ხეები	ხე ები
ნეოლითის	ნე ოლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	საყვარ ელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შეყვარ ებულ ის
წყალმარჩხ	წყალმარ ჩხ
გაქრება	გა ქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გა რე თა
ხუროთმოძღვრება	ხუროთ მოძღვრ ება
აცილებული	ა ცილ ებული
აისახება	აისა ხ ება
ცდება	ცდ ება
ეფექტურობა	ეფექ ტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომ ხიბლ ავი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვ ებს
შოუზე	შო უ ზე
ჭანტურია	ჭ ანტ ურია
კეჩუას	კეჩუ ა ს
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრ ზენი
ფეხებში	ფეხ ებში
ქვებზე	ქვე ბ ზე
ჰოპკინზმა	ჰოპკ ინზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფი გარ ოს
მეოთხეა	მეოთ ხე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექტ იულ ია
პოზიტიური	პოზი ტიურ ი
რიტორიკა	რიტორ იკ ა
სამწერლო	სა მწერ ლო
აქტიურები	აქტიურ ები
წოდებაც	წოდ ებ აც
თავდაცვისა	თავდა ცვ ისა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლინ იუს
ჯოზეფი	ჯოზე ფ ი
ასვლას	ას ვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰ იუ რემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბე ნდ ი
ვარიანტი	ვარი ანტ ი
კლდეკარის	კლდ ე კარის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქ ე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნათ ელ აშვილის
მიახლოებით	მი ახლო ებით
მუხისფარს	მუხის ფარ ს
კომისარიატის	კომისა რიატ ის
პიტერმა	პი ტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვეს ტორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრადაშჩე ვიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლ იზმ ები
ქვედაზე	ქვე და ზე
მხრივაც	მხრივ აც
დუელში	დუ ელში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულტი ვირ ება
ჩათვლა	ჩა თვლ ა
ფისი	ფის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსოვ ილ ისაგან
ჩხიკვაძე	ჩხი კვ აძე
ფრანკფურტში	ფრანკფურ ტ ში
მფარველობას	მფარ ველობ ას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვეს კნ ელის
რუხია	რუ ხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრანცის კ ანელთა
რეიტინგული	რეი ტინგ ული
ბელა	ბელ ა
გელათში	გელ ათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლი დერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულ გარეთ ი
მოჰკიდა	მოჰ კი და
სპარტელთა	ს პარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პან კ რეასის
მკერდის	მკერდ ის
პლანქტონური	პლანქ ტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მომხ დარ მა
მონასტრების	მონა სტრ ების
ამბავში	ამბ ავ ში
დედინაცვალი	დე დ ინაცვალი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
