იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სა მთავრო სა
მითანის	მი თან ის
ალმანახი	ალმანახ ი
მოწმეები	მოწმ ეები
ევდოკია	ევდოკია
ინტერესი	ინტერეს ი
საიდუმლოება	სა ი დუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრას
დასწამა	და სწა მა
პაკეტში	პაკეტ ში
რობერ	რობერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარ სარდლ ობის
ასტრონომია	ასტრ ონომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სი გარე ტი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალ კოჰოლ ს
დასარბევად	დასა რბევა დ
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინ გა პ ურის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნი
სარკეში	სარკ ე ში
დისკრეტული	დის კრეტ ული
კლონი	კლო ნი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფი ც ირება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შანი ძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგი ის
წნეხის	წნეხ ის
სურვილისამებრ	სურვი ლის ამებრ
კანისა	კანი სა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელში
დარგი	დარგ ი
წარმოგვიდგება	წარმო გვი დგ ება
მოსინჯა	მო სინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარე შე ა
თანადროულია	თან ა დრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტა ნტ იზმის
ჟანგბადის	ჟანგბა დის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დ აპირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მამ
ეკავათ	ეკავ ა თ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველაფრი თ
ნომინანტი	ნომინ ანტი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტა ინის
საღამოები	სა ღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გა და უ რჩნენ
კელტთა	კელტ თა
ითხოვა	ი თხოვა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქ სონის
ჩერნიგოვის	ჩერ ნიგოვ ის
ცერემონიაზე	ცერემონ ია ზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვება
აღწერითი	აღწერ ითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გუ ლაგ ის
ამოვსებულია	ამოვს ებული ა
ფერდობების	ფერდობებ ის
გასაკვირი	გასა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალე ლ ურად
კარლაილს	კარლ ა ილ ს
ჰენი	ჰენ ი
შეფერილობით	შე ფერი ლობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზდ ანის
არქტიკულ	არქტი კულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდ ეგ ობრივი
ქარგა	ქარ გა
ხისტი	ხის ტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმო შობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაც ი ო
ტაქსონომიურ	ტაქს ონომი ურ
დაიღუპა	და იღუპ ა
არიანე	არიანე
მორისი	მორი სი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვანა
რიგების	რიგების
მახსოვს	მა ხსოვ ს
სახელწოდებად	ს ახელწოდ ებად
ყურეს	ყურეს
გაერთიანებაში	გაერთ იან ებაში
დაცვითი	დაცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯან ელი ძის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლითი ს
ხელოსნური	ხელოსნ ური
საყვარელიძე	სა ყვარ ელიძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შე ყვარებულ ის
წყალმარჩხ	წყალ მა რჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარე თა
ხუროთმოძღვრება	ხუროთ მოძღვრ ება
აცილებული	აცილ ებული
აისახება	აისახ ება
ცდება	ც დება
ეფექტურობა	ეფექტ ურ ობა
გაღარიბებული	გაღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომ ხიბლ ავი
დამფუძნებელია	დამ ფუძნ ებელი ა
ესპანურ	ესპანურ
პრემიერ	პრემიე რ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭან ტური ა
კეჩუას	კეჩუა ს
სოლისტი	სოლისტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვებ ზე
ჰოპკინზმა	ჰო პკინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფი გა როს
მეოთხეა	მეოთხ ე ა
გარანტიას	გარანტ იას
ნახევარუდაბნოს	ნახევარ უდაბნ ოს
ლუქსემბურგის	ლუქს ემ ბურგ ის
პერსპექტიულია	პერ სპექტ ი ულია
პოზიტიური	პოზიტ ი ური
რიტორიკა	რიტორ იკა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდ ებაც
თავდაცვისა	თავდაცვ ის ა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ა სვლას
დღე	დღე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზიდენ ტ
ჰიურემ	ჰიუ რემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახეთ ში
ბენდი	ბენ დი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდე კარი ს
ეკოსისტემის	ე კო სისტემ ის
ფორტეპიანოსა	ფორტ ეპიანო სა
მთავარანგელოზი	მთავარ ან გელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გა შლის
ნათელაშვილის	ნათელ ა შვილ ის
მიახლოებით	მი ახლო ებით
მუხისფარს	მუხ ის ფარ ს
კომისარიატის	კომ ის არია ტის
პიტერმა	პიტერ მა
მონიტორები	მ ონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შე შლა
გრადაშჩევიჩის	გრად აშჩე ვიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატ ორ ო
კატაკლიზმები	კატ აკლ იზმ ები
ქვედაზე	ქვე და ზე
მხრივაც	მხრივ აც
დუელში	დუ ელში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვ ი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კო მიქს ებში
ბაიკონურის	ბა ი კონ ურის
კულტივირება	კულტივ ირება
ჩათვლა	ჩა თვლა
ფისი	ფის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსოვი ლ ისაგან
ჩხიკვაძე	ჩხიკვაძე
ფრანკფურტში	ფრანკ ფუ რტ ში
მფარველობას	მფარვე ლობას
ჩამოკვეთილი	ჩა მ ოკვეთილი
გადარჩევა	გადა რჩევა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუხი ა
რჩევებს	რჩევ ებს
დაღესტნელი	და ღესტ ნელი
ფრანცისკანელთა	ფრანცისკ ან ელთა
რეიტინგული	რე იტინგ ული
ბელა	ბელა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	ს იტყვიერ
შემოიფარგლება	შემო ი ფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰ კიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პანკ რეას ის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტ ონური
საისტორიო	სა ის ტორიო
დაველაპარაკები	და ველ აპარაკ ები
მომხდარმა	მომხდა რმა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ინა ცვალი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემ პერატურ ით
მოუღეს	მოუ ღე ს
შემოსვლის	შემო სვლის
რონდელი	რონ დელი
კავკასიელ	კავკა სი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმა ა
სათანადოდ	სა თან ად ოდ
