იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თ ი
სამთავროსა	სა მთავრ ოს ა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ეები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერ ეს ი
საიდუმლოება	სა ი დუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	და ს წა მა
პაკეტში	პაკეტ ში
რობერ	რობ ერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარ სარდლ ობის
ასტრონომია	ასტრ ონომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სი გარეტი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკოჰო ლს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პიტ ი
სინგაპურის	სინ გა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სარკ ეში
დისკრეტული	დის კრეტ ული
კლონი	კლ ონი
მუსლიმური	მუსლიმური
იდენტიფიცირება	იდენტ ი ფიცი რება
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შანი ძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფა ს
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგი ის
წნეხის	წნეხ ის
სურვილისამებრ	სურვილ ი სამებრ
კანისა	კან ისა
ეკითხებოდა	ე კითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმო გვი დგება
მოსინჯა	მო სინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარე შე ა
თანადროულია	თან ა დრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტეს ტანტ იზმ ის
ჟანგბადის	ჟანგბა დის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირ ისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხი ს
ყოველგვარი	ყოველ გვარი
მამამ	მამამ
ეკავათ	ეკავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრით
ნომინანტი	ნომინ ანტი
თანდასწრებით	თან დ ასწრ ებით
აინშტაინის	აინშტა ინის
საღამოები	სა ღამოები
თეორემის	თეორე მის
გადაურჩნენ	გადა უ რჩნენ
კელტთა	კელტ თა
ითხოვა	ითხოვ ა
სპორტისა	ს პორტი სა
ერიქსონის	ერიქსონი ს
ჩერნიგოვის	ჩერნ ი გ ოვის
ცერემონიაზე	ცერემონ ი აზე
მხარდაჭერით	მხარ დაჭერ ით
გაყვება	გა ყვება
აღწერითი	აღწერითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გულ ა გის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გა სა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალელურ ად
კარლაილს	კარლ ა ილს
ჰენი	ჰენ ი
შეფერილობით	შე ფერი ლობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ და ნის
არქტიკულ	არქტიკულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდე გ ობრივი
ქარგა	ქარ გა
ხისტი	ხის ტი
მოქალაქეები	მოქალაქ ეები
დაემთხვა	დაე მ თხ ვა
წარმოშობილი	წარმო შობილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზ აციო
ტაქსონომიურ	ტაქს ონომი ურ
დაიღუპა	დაი ღუპ ა
არიანე	არ იანე
მორისი	მორი სი
სტრუქტურები	სტრუქტუ რები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამოიყვან ა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელ წოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გაერთ იანებ აში
დაცვითი	დაცვ ი თ ი
კანტატები	კ ანტა ტები
ჯანელიძის	ჯან ელი ძის
ბუნებას	ბუნ ებას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	სა ყვარ ელიძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შე ყვარ ებულ ის
წყალმარჩხ	წყალ მარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემ ეხ ები
გარეთა	გარე თა
ხუროთმოძღვრება	ხუროთ მოძღვ რება
აცილებული	აცილ ებული
აისახება	აისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტურობ ა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მო მ ხიბლ ავი
დამფუძნებელია	დამფუძნ ებელია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭან ტურ ია
კეჩუას	კეჩუა ს
სოლისტი	სოლ ისტი
ტექნიკაზე	ტექნ იკა ზე
ამაზრზენი	ა მაზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰო პკინზ მა
ჩემპიონატს	ჩემპიონ ა ტს
სიხშირეს	ს ი ხშირ ეს
ფიგაროს	ფი გა როს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტ იას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექ ტი ულია
პოზიტიური	პოზიტ ი ური
რიტორიკა	რი ტორი კა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ის ა
ატლანტისი	ატლანტი სი
პლინიუს	პლინი უს
ჯოზეფი	ჯოზეფ ი
ასვლას	ასვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენ ტ
ჰიურემ	ჰიურემ
წარმატებისა	წარმატ ებისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენ დი
ვარიანტი	ვარი ანტი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპია ნო სა
მთავარანგელოზი	მთავარ ანგელ ოზი
მოქალაქედ	მოქალაქ ედ
გაშლის	გა შლის
ნათელაშვილის	ნათელ ა შვილი ს
მიახლოებით	მ ი ახლო ებით
მუხისფარს	მუხ ის ფარს
კომისარიატის	კომის არია ტის
პიტერმა	პიტერ მა
მონიტორები	მ ონი ტორ ები
ინვესტორი	ინვესტ ორი
შეშლა	შე შლა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	სა იმპერა ტორ ო
კატაკლიზმები	კატა კლ იზმ ები
ქვედაზე	ქვე და ზე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვ ი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქ ს ებში
ბაიკონურის	ბა ი კონ ურის
კულტივირება	კულტივ ირება
ჩათვლა	ჩათვლ ა
ფისი	ფის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვი ლი საგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურტ ში
მფარველობას	მფარვე ლობას
ჩამოკვეთილი	ჩა მოკვეთილ ი
გადარჩევა	გადა რჩევა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	და ღესტნ ელი
ფრანცისკანელთა	ფრანც ის კან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიან ი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემო ი ფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰ კიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხ ილა
ობობა	ობ ობა
პანკრეასის	პანკ რე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტ ო ნური
საისტორიო	სა ისტორ იო
დაველაპარაკები	და ველ აპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ი ნაცვალი
ამოშენებულია	ამო შენებულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატ ურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემოსვლ ის
რონდელი	რონ დელი
კავკასიელ	კავკასი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმა ა
სათანადოდ	სა თან ად ოდ
