იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სა მთავრ ოს ა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ეები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლ ო ება
შენს	შენ ს
გადაჭრას	გადა ჭრა ს
დასწამა	და ს წა მა
პაკეტში	პაკეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარ სარდლ ობის
ასტრონომია	ასტრონომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სი გარეტ ი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკო ჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სი ნ გა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნ ი
სარკეში	სარკ ე ში
დისკრეტული	დისკ რე ტული
კლონი	კლ ონი
მუსლიმური	მუსლი მ ური
იდენტიფიცირება	იდენტ იფიცირ ება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შან იძე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პოემების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგი ის
წნეხის	წნ ეხ ის
სურვილისამებრ	სურვილ ის ამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმო გვი დგება
მოსინჯა	მო სინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარე შე ა
თანადროულია	თანა დრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტა ნტ იზმის
ჟანგბადის	ჟანგ ბადი ს
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	და პირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარი
მამამ	მამამ
ეკავათ	ეკავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველ აფრით
ნომინანტი	ნომინ ანტი
თანდასწრებით	თან დასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	სა ღამო ები
თეორემის	თეორე მის
გადაურჩნენ	გადაუ რჩნენ
კელტთა	კელტ თა
ითხოვა	ი თხოვა
სპორტისა	ს პორტ ისა
ერიქსონის	ერიქსონი ს
ჩერნიგოვის	ჩერ ნი გ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გა ყვება
აღწერითი	აღწერ ითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გუ ლა გ ის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გა სა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალე ლურ ად
კარლაილს	კარლ ა ი ლს
ჰენი	ჰენ ი
შეფერილობით	შე ფერ ი ლობით
დაბოლოებული	დაბოლო ებულ ი
რონალდუმ	რონალ დუმ
რაზდანის	რაზ და ნი ს
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდე გ ობრივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმო შობილ ი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზ აციო
ტაქსონომიურ	ტაქსონომიურ
დაიღუპა	და იღუპ ა
არიანე	არ იანე
მორისი	მორი სი
სტრუქტურები	სტრუქ ტურ ები
მომნელებელი	მომნელე ბელი
კულმინაციას	კულ მინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდ ებად
ყურეს	ყურ ეს
გაერთიანებაში	გა ერთიან ება ში
დაცვითი	დაცვ ითი
კანტატები	კანტა ტ ები
ჯანელიძის	ჯან ელ იძის
ბუნებას	ბუნ ებას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	სა ყვარ ელიძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდოვან ი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შე ყვარ ებული ს
წყალმარჩხ	წყალ მარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმო ძღვრ ება
აცილებული	აცილ ებული
აისახება	აისახ ება
ცდება	ც დება
ეფექტურობა	ეფექტ ურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწ ათ მფლობელ ობა
მომხიბლავი	მომ ხიბლ ა ვი
დამფუძნებელია	და მფუძნ ებელია
ესპანურ	ესპან ურ
პრემიერ	პრემი ერ
შეზღუდვებს	შეზღუდ ვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭან ტურ ია
კეჩუას	კეჩუა ს
სოლისტი	სოლ ისტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ა მაზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰო პკინზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფი გა როს
მეოთხეა	მეოთხ ე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნ ოს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერ სპექტ იული ა
პოზიტიური	პოზიტ იური
რიტორიკა	რიტორი კა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდ ებაც
თავდაცვისა	თავ დაცვ ი სა
ატლანტისი	ატლანტი სი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ა სვლას
დღე	დღე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზ იდენტ
ჰიურემ	ჰი ურ ემ
წარმატებისა	წარ მატ ების ა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენ დი
ვარიანტი	ვარი ანტი
კლდეკარის	კლდე კა რის
ეკოსისტემის	ე კო სისტემ ის
ფორტეპიანოსა	ფორტე პიანო სა
მთავარანგელოზი	მთავარ ა ნგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გა შლის
ნათელაშვილის	ნათელ ა შვილი ს
მიახლოებით	მი ახლო ებით
მუხისფარს	მ უ ხის ფარს
კომისარიატის	კომ ის არია ტის
პიტერმა	პიტერ მა
მონიტორები	მო ნიტორ ები
ინვესტორი	ინვესტ ორი
შეშლა	შე შლა
გრადაშჩევიჩის	გრად აშჩევიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატო რო
კატაკლიზმები	კატა კლიზმ ები
ქვედაზე	ქვე და ზე
მხრივაც	მხრივ აც
დუელში	დუე ლში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვ ი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბ ა ი კონ ურის
კულტივირება	კულტივ ირება
ჩათვლა	ჩა თვლა
ფისი	ფის ი
გადაღებულმა	გადაღ ებულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკ ვაძე
ფრანკფურტში	ფრანკ ფურტ ში
მფარველობას	მფარვე ლობას
ჩამოკვეთილი	ჩ ამოკვეთილი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დ აღესტნ ელი
ფრანცისკანელთა	ფრანც ის კან ელთა
რეიტინგული	რეიტინ გულ ი
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლ იანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემო ი ფარგლ ება
ბულგარეთი	ბულგარე თ ი
მოჰკიდა	მოჰ კიდა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გა ა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პანკ რე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტ ონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	და ველ აპარაკ ები
მომხდარმა	მომხდა რმა
მონასტრების	მონასტ რ ების
ამბავში	ამბავ ში
დედინაცვალი	დე დინა ცვალ ი
ამოშენებულია	ამო შენებ ულია
სიღრმული	სიღრ მული
ტემპერატურით	ტე მპერატუ რით
მოუღეს	მოუ ღე ს
შემოსვლის	შემო სვლის
რონდელი	რო ნდელი
კავკასიელ	კავკასი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუც ი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსა ბ
შარაძე	შარ აძე
ფორმაა	ფორმა ა
